"team_name","strength","attack","defense","n_games"
"282",1.02,2.16,0.94,88
"285",0.96,1.2,1.62,89
"275",0.86,1.39,1.31,88
"277",0.69,1.42,1.14,89
"262",0.63,1.63,0.95,88
"356",0.58,0.97,1.54,51
"276",0.45,1.25,1.09,88
"284",0.45,1.05,1.3,88
"266",0.44,1.39,0.97,89
"292",0.31,1.05,1.17,51
"267",0.24,1.36,0.87,88
"373",0.02,0.94,1.08,13
"264",0.02,1.04,0.98,89
"290",0,1.71,0.59,48
"280",-0.02,1.15,0.85,13
"354",-0.03,1.13,0.87,89
"293",-0.11,0.79,1.17,88
"263",-0.12,0.9,1.02,89
"265",-0.33,1.23,0.65,89
"294",-0.64,0.66,0.97,13
