"team_name","strength","attack","defense","n_games"
"285",0.97,1.19,1.65,88
"282",0.79,1.88,0.92,87
"275",0.78,1.33,1.3,87
"277",0.68,1.38,1.16,88
"356",0.57,1.06,1.4,50
"276",0.52,1.27,1.13,87
"267",0.5,1.38,1.03,87
"266",0.46,1.39,0.99,88
"262",0.41,1.42,0.93,87
"284",0.33,0.98,1.28,87
"292",0.22,0.98,1.18,50
"293",0.14,0.78,1.41,87
"264",0,1.28,0.78,87
"280",0,1.33,0.75,12
"373",-0.03,1.15,0.86,11
"290",-0.04,1.55,0.63,47
"263",-0.04,0.9,1.08,87
"354",-0.07,1.1,0.87,88
"265",-0.48,1.09,0.66,87
"294",-0.79,0.63,0.92,12
