"team_name","strength","attack","defense","n_games"
"267",1.36,1.57,1.64,79
"285",1.13,1.46,1.49,80
"277",0.66,1.3,1.22,80
"275",0.42,0.91,1.46,79
"284",0.42,0.77,1.73,80
"265",0.38,1.2,1.09,79
"276",0.35,1.09,1.17,79
"280",0.33,1.41,0.9,4
"282",0.25,1.25,0.95,80
"263",0.16,0.85,1.31,79
"266",0.1,1.14,0.94,80
"293",0.03,1.1,0.93,80
"373",0.01,1.23,0.82,3
"264",0,1.49,0.67,79
"356",-0.26,0.82,1.02,42
"262",-0.4,0.99,0.76,80
"292",-0.45,0.88,0.84,42
"290",-0.78,1.19,0.49,41
"354",-1.08,0.83,0.57,80
"294",-2.32,0.24,0.84,4
