"team_name","strength","attack","defense","n_games"
"285",1.3,1.63,1.52,84
"282",1.26,1.58,1.51,83
"267",1.02,1.54,1.31,83
"275",0.68,1.17,1.37,83
"262",0.54,1.74,0.84,84
"276",0.49,1.21,1.16,83
"277",0.46,1.19,1.16,84
"284",0.35,0.81,1.57,83
"264",0.29,1.66,0.74,83
"356",0.13,0.94,1.17,46
"266",0.1,1.17,0.91,84
"265",0.03,1.46,0.7,83
"263",0.01,0.83,1.2,83
"354",0,1,1,84
"293",-0.15,0.82,1.1,83
"292",-0.2,1.05,0.83,46
"290",-0.44,1.15,0.64,44
"373",-0.59,0.79,0.84,7
"280",-0.63,1.07,0.6,8
"294",-0.65,0.45,1.41,8
