"team_name","strength","attack","defense","n_games"
"285",1.25,1.28,1.87,90
"282",0.98,2.18,0.91,89
"262",0.98,1.84,1.07,89
"356",0.84,1.08,1.66,52
"276",0.81,1.46,1.2,89
"275",0.78,1.42,1.21,89
"277",0.73,1.42,1.17,90
"266",0.62,1.55,1,90
"284",0.58,1.16,1.28,89
"263",0.18,1.05,1.09,90
"264",0.15,1.05,1.06,90
"292",0.09,0.98,1.09,52
"265",0.06,1.41,0.74,90
"354",0,1.06,0.94,90
"293",0,0.74,1.36,89
"267",-0.02,1.21,0.82,89
"290",-0.03,1.79,0.55,49
"280",-0.06,1.13,0.85,14
"373",-0.17,0.89,1,14
"294",-0.53,0.73,0.95,14
