"team_name","strength","attack","defense","n_games"
"285",1.16,1.67,1.34,92
"282",1.14,2.06,1.07,91
"276",1.04,1.51,1.36,90
"262",0.85,1.63,1.11,92
"356",0.81,0.98,1.79,53
"266",0.73,1.42,1.17,92
"277",0.64,1.36,1.15,92
"284",0.63,1.31,1.18,91
"275",0.3,1.27,0.97,91
"373",0.12,1,1.09,16
"264",0.12,1.06,1.02,92
"263",0.1,1.12,0.96,92
"354",0.06,1.13,0.92,91
"267",0,1.22,0.82,90
"265",-0.04,1.15,0.85,92
"292",-0.05,1.21,0.79,54
"280",-0.06,1.12,0.86,16
"294",-0.12,0.9,1.03,16
"290",-0.16,1.42,0.63,52
"293",-0.19,0.73,1.2,91
