"team_name","strength","attack","defense","n_games"
"285",1.81,1.78,1.97,83
"282",1.27,1.72,1.4,82
"267",0.97,1.68,1.17,82
"275",0.88,1.23,1.5,82
"284",0.56,0.83,1.77,82
"266",0.54,1.22,1.19,83
"262",0.48,1.69,0.83,83
"264",0.44,1.61,0.84,82
"277",0.41,1.23,1.08,83
"356",0.35,1,1.27,45
"276",0.18,0.97,1.17,82
"354",0.16,1.14,0.99,83
"293",0.08,0.98,1.08,82
"263",0,0.71,1.4,82
"290",-0.15,1.31,0.69,43
"265",-0.16,1.32,0.68,82
"292",-0.37,0.98,0.8,45
"294",-0.53,0.52,1.33,7
"373",-0.57,0.76,0.88,6
"280",-0.57,1.08,0.62,7
