"team_name","strength","attack","defense","n_games"
"373",2.21,1.61,2.88,2
"267",1.18,1.44,1.57,78
"282",0.81,1.38,1.27,79
"284",0.8,0.88,1.98,79
"292",0.44,1.65,0.82,41
"285",0.4,1.28,1.03,79
"277",0.25,1.26,0.95,79
"275",0.19,1.07,1.07,78
"266",0.17,1.07,1.06,79
"293",0.1,1.29,0.83,79
"276",0.08,1.05,1.01,78
"265",0.06,1.27,0.82,78
"262",0.04,1.29,0.8,79
"264",0,1.22,0.82,78
"290",-0.46,1.08,0.67,40
"354",-0.48,1.02,0.71,79
"280",-0.52,0.92,0.75,3
"263",-0.92,0.51,1.03,78
"356",-1.26,0.45,0.93,41
"294",0,0,1.28,3
