"team_name","strength","attack","defense","n_games"
"285",1.25,1.39,1.71,91
"282",1.13,2.11,1.04,90
"276",1.04,1.53,1.34,90
"262",0.94,1.73,1.11,91
"356",0.8,0.99,1.76,53
"277",0.79,1.5,1.15,91
"266",0.67,1.47,1.09,91
"275",0.57,1.31,1.14,90
"284",0.47,1.18,1.18,90
"263",0.27,1.13,1.07,91
"354",0.09,1.14,0.93,91
"264",0.05,1.06,0.98,91
"267",0.01,1.21,0.83,90
"265",0,1.26,0.79,91
"292",-0.02,1.01,0.98,53
"373",-0.02,0.99,0.99,15
"293",-0.03,0.81,1.21,90
"290",-0.12,1.53,0.6,51
"280",-0.13,1.13,0.81,15
"294",-0.51,0.7,1.01,15
