"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","G","PE","RB","SG","FD","FF","I","A","DD","GS","FT","CV","DP","PP","GC"
"1","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,8,284,"zag","Contundido",0,14.7,0,3.7,"Grêmio",3,9,4,1,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png",90285,8,262,"ata","Provável",0.1,18.09,-2.47,5.84,"Flamengo",2,12,10,4,9,1,NA,7,9,1,NA,NA,NA,NA,NA,NA,NA,NA
"3","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png",42500,8,264,"lat","Nulo",0,15.29,0,9.9,"Corinthians",1,1,10,NA,20,14,4,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"4","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,8,262,"gol","Dúvida",16.4,7.78,2.52,5.28,"Flamengo",NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA
"5","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/01/14/57fb81b73c89620d18f66384c4d61108_FORMATO.jpeg",70944,8,275,"mei","Provável",1,11.05,-0.35,1.7,"Palmeiras",NA,8,3,NA,5,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,8,284,"zag","Provável",13.1,14.75,2.68,6.57,"Grêmio",2,3,4,NA,12,23,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2018/05/18/997feae679bb584848d2ef5197f0b406_FORMATO.png",86757,8,284,"ata","Nulo",0,17.31,0,6.68,"Grêmio",1,NA,4,3,9,8,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,8,341,"mei","Provável",0,3.29,0,-0.13,"CSA",2,5,5,NA,6,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,8,264,"gol","Nulo",0,8.71,0,5.35,"Corinthians",2,NA,2,NA,3,NA,4,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA
"10","Claudio Winck Neto","claudio-winck","Claudio Winck","https://s.glbimg.com/es/sde/f/2019/02/04/4412c9f53c873f0f2ce2b2038d648bbf_FORMATO.jpeg",74074,8,267,"lat","Nulo",0,4.01,0,2.15,"Vasco",1,2,NA,NA,6,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
