date,home_team,away_team,home_score,away_score,round
2019-04-27,282,314,2,1,1
2019-04-27,315,285,2,0,1
2019-04-27,262,283,3,1,1
2019-04-27,276,263,2,0,1
2019-04-28,293,267,4,1,1
2019-04-28,265,264,3,2,1
2019-04-28,354,341,4,0,1
2019-04-28,266,290,0,1,1
2019-04-28,275,356,4,0,1
2019-04-28,284,277,1,2,1
2019-05-01,314,284,1,1,2
2019-05-01,341,275,1,1,2
2019-05-01,267,282,1,2,2
2019-05-01,264,315,1,0,2
2019-05-01,283,354,1,0,2
2019-05-01,356,293,2,1,2
2019-05-01,285,262,2,1,2
2019-05-01,290,276,1,2,2
2019-05-02,263,265,3,2,2
2019-05-02,277,266,2,1,2
2019-05-04,267,264,1,1,3
2019-05-04,354,282,1,2,3
2019-05-04,275,285,1,0,3
2019-05-05,315,293,1,1,3
2019-05-05,276,262,1,1,3
2019-05-05,341,277,0,0,3
2019-05-05,265,314,1,0,3
2019-05-05,263,356,1,0,3
2019-05-05,283,290,2,1,3
2019-05-05,284,266,4,5,3
2019-05-11,264,284,0,0,4
2019-05-11,266,263,0,1,4
2019-05-11,290,354,2,1,4
2019-05-12,314,341,0,0,4
2019-05-12,293,265,1,0,4
2019-05-12,262,315,2,1,4
2019-05-12,285,283,3,1,4
2019-05-12,282,275,0,2,4
2019-05-12,277,267,3,0,4
2019-05-12,356,276,0,1,4
2019-05-18,282,262,2,1,5
2019-05-18,266,283,4,1,5
2019-05-18,275,277,4,0,5
2019-05-19,267,314,1,1,5
2019-05-19,276,265,0,0,5
2019-05-19,354,284,2,1,5
2019-05-19,293,264,0,2,5
2019-05-19,315,356,1,3,5
2019-05-19,290,263,1,0,5
2019-05-19,285,341,2,0,5
2019-05-25,284,282,1,0,6
2019-05-25,263,275,0,1,6
2019-05-26,277,285,0,0,6
2019-05-26,356,267,1,1,6
2019-05-26,265,266,3,2,6
2019-05-26,283,315,1,2,6
2019-05-26,264,276,1,0,6
2019-05-26,262,293,3,2,6
2019-05-27,314,354,1,2,6
2019-05-27,341,290,1,0,6
2019-06-01,265,284,1,0,7
2019-06-01,262,356,2,0,7
2019-06-02,276,283,1,1,7
2019-06-02,293,266,3,0,7
2019-06-02,282,341,4,0,7
2019-06-02,263,267,1,0,7
2019-06-02,285,314,2,0,7
2019-06-02,315,275,1,2,7
2019-06-02,354,277,0,1,7
2019-06-07,267,285,2,1,8
2019-06-08,354,265,0,0,8
2019-06-08,283,264,0,0,8
2019-06-08,314,276,0,0,8
2019-06-08,284,356,1,0,8
2019-06-08,275,293,1,0,8
2019-06-09,266,262,0,0,8
2019-06-09,341,263,1,2,8
2019-06-09,277,282,3,1,8
2019-06-10,290,315,3,1,8
2019-06-12,341,262,0,2,9
2019-06-12,356,283,2,1,9
2019-06-12,263,284,0,1,9
2019-06-12,285,265,3,1,9
2019-06-12,277,264,1,0,9
2019-06-13,315,266,1,1,9
2019-06-13,282,276,1,1,9
2019-06-13,290,293,2,1,9
2019-06-13,275,314,2,0,9
2019-06-13,267,354,1,0,9
2019-07-13,276,275,1,1,10
2019-07-13,356,314,2,0,10
2019-07-13,284,267,2,1,10
2019-07-13,265,277,0,1,10
2019-07-14,283,263,0,0,10
2019-07-14,293,285,1,0,10
2019-07-14,315,282,1,2,10
2019-07-14,264,341,1,0,10
2019-07-14,262,290,6,1,10
2019-07-15,266,354,1,1,10
2019-07-20,265,283,0,0,11
2019-07-20,285,284,1,1,11
2019-07-20,341,293,0,4,11
2019-07-20,354,275,2,0,11
2019-07-20,267,266,2,1,11
2019-07-21,264,262,1,1,11
2019-07-21,282,356,2,2,11
2019-07-21,314,290,0,0,11
2019-07-21,263,277,0,1,11
2019-07-22,276,315,4,0,11
2019-07-27,275,267,1,1,12
2019-07-27,283,293,0,2,12
2019-07-27,285,354,1,0,12
2019-07-27,266,276,1,2,12
2019-07-28,290,282,0,0,12
2019-07-28,315,265,0,0,12
2019-07-28,356,264,1,3,12
2019-07-28,262,263,3,2,12
2019-07-28,277,314,3,1,12
2019-07-29,341,284,0,0,12
2019-08-03,354,356,2,1,13
2019-08-03,266,285,2,1,13
2019-08-04,267,341,0,0,13
2019-08-04,264,275,1,1,13
2019-08-04,282,283,2,0,13
2019-08-04,265,262,3,0,13
2019-08-04,314,263,0,2,13
2019-08-04,277,290,6,1,13
2019-08-05,284,315,3,3,13
2019-08-07,264,290,2,0,7
2019-08-10,282,266,2,1,14
2019-08-10,354,315,4,1,14
2019-08-10,262,284,3,1,14
2019-08-10,276,277,3,2,14
2019-08-11,275,265,2,2,14
2019-08-11,285,264,0,0,14
2019-08-11,314,283,2,2,14
2019-08-11,263,293,2,1,14
2019-08-11,290,267,0,1,14
2019-08-12,341,356,0,2,14
2019-08-17,284,275,1,1,15
2019-08-17,293,282,1,0,15
2019-08-17,264,263,2,0,15
2019-08-17,267,262,1,4,15
2019-08-17,356,285,0,1,15
2019-08-18,265,290,1,1,15
2019-08-18,315,314,1,0,15
2019-08-18,283,277,2,0,15
2019-08-18,266,341,0,1,15
2019-08-18,276,354,1,0,15
2019-08-21,293,276,0,1,13
2019-08-24,282,265,0,1,16
2019-08-24,284,293,2,1,16
2019-08-25,314,264,1,1,16
2019-08-25,341,283,1,1,16
2019-08-25,277,356,3,3,16
2019-08-25,354,262,0,3,16
2019-08-25,290,285,2,1,16
2019-08-25,267,276,2,0,16
2019-08-26,263,315,0,0,16
2019-08-31,276,284,0,0,17
2019-08-31,293,354,1,0,17
2019-08-31,265,341,1,0,17
2019-08-31,285,263,3,2,17
2019-08-31,315,277,0,1,17
2019-09-01,264,282,1,0,17
2019-09-01,283,267,1,0,17
2019-09-01,262,275,3,0,17
2019-09-01,356,290,2,0,17
2019-09-02,266,314,0,1,17
2019-09-07,264,354,2,2,18
2019-09-07,267,265,0,2,18
2019-09-07,314,262,0,3,18
2019-09-07,356,266,0,1,18
2019-09-07,285,276,1,0,18
2019-09-07,290,275,1,2,18
2019-09-08,277,293,1,1,18
2019-09-08,263,282,2,1,18
2019-09-08,341,315,2,0,18
2019-09-08,283,284,1,4,18
2019-09-10,275,266,3,0,16
2019-09-14,354,263,0,0,19
2019-09-14,262,277,1,0,19
2019-09-14,275,283,1,0,19
2019-09-14,315,267,1,2,19
2019-09-15,276,341,1,1,19
2019-09-15,265,356,1,1,19
2019-09-15,293,314,0,1,19
2019-09-15,266,264,1,0,19
2019-09-15,284,290,3,0,19
2019-09-15,282,285,1,3,19
2019-09-21,264,265,2,1,20
2019-09-21,283,262,1,2,20
2019-09-21,277,284,0,3,20
2019-09-21,263,276,1,2,20
2019-09-22,267,293,1,1,20
2019-09-22,341,354,1,0,20
2019-09-22,290,266,3,0,20
2019-09-22,285,315,1,0,20
2019-09-22,356,275,0,1,20
2019-09-23,314,282,1,0,20
2019-09-25,354,283,0,0,21
2019-09-25,265,263,2,0,21
2019-09-25,262,285,3,1,21
2019-09-25,276,290,0,1,21
2019-09-26,266,277,1,1,21
2019-09-26,293,356,4,1,21
2019-09-26,284,314,6,1,21
2019-09-26,275,341,6,2,21
2019-09-28,262,276,0,0,22
2019-09-29,293,315,1,1,22
2019-09-29,285,275,1,1,22
2019-09-29,282,354,2,1,22
2019-09-29,264,267,1,0,22
2019-09-29,266,284,2,1,22
2019-09-29,277,341,2,0,22
2019-09-30,314,265,0,2,22
2019-09-30,356,263,1,0,22
2019-09-30,290,283,1,0,22
2019-10-02,315,264,0,1,21
2019-10-02,282,267,1,2,21
2019-10-05,284,264,0,0,23
2019-10-05,283,285,1,1,23
2019-10-05,265,293,1,2,23
2019-10-05,267,277,0,1,23
2019-10-05,276,356,2,1,23
2019-10-06,275,282,1,1,23
2019-10-06,341,314,3,1,23
2019-10-06,315,262,0,1,23
2019-10-06,263,266,0,1,23
2019-10-06,354,290,0,1,23
2019-10-09,283,266,0,0,24
2019-10-09,265,276,0,0,24
2019-10-09,263,290,3,1,24
2019-10-09,341,285,1,0,24
2019-10-09,356,315,2,0,24
2019-10-09,284,354,2,1,24
2019-10-09,277,275,2,0,24
2019-10-10,264,293,2,2,24
2019-10-10,314,267,0,0,24
2019-10-10,262,282,3,1,24
2019-10-12,266,265,2,0,25
2019-10-12,290,341,1,0,25
2019-10-12,275,263,1,0,25
2019-10-13,315,283,1,1,25
2019-10-13,285,277,0,0,25
2019-10-13,354,314,1,0,25
2019-10-13,293,262,0,2,25
2019-10-13,282,284,1,4,25
2019-10-13,276,264,1,0,25
2019-10-13,267,356,1,0,25
2019-10-16,341,282,2,2,26
2019-10-16,290,264,2,2,26
2019-10-16,284,265,0,1,26
2019-10-16,283,276,1,0,26
2019-10-16,356,262,1,2,26
2019-10-16,275,315,1,0,26
2019-10-16,267,263,2,1,26
2019-10-17,266,293,1,2,26
2019-10-17,314,285,0,2,26
2019-10-17,277,354,2,1,26
2019-10-19,264,283,1,2,27
2019-10-19,356,284,2,1,27
2019-10-20,315,290,2,2,27
2019-10-20,293,275,1,1,27
2019-10-20,282,277,2,0,27
2019-10-20,262,266,2,0,27
2019-10-20,276,314,1,0,27
2019-10-20,285,267,0,1,27
2019-10-21,263,341,2,1,27
2019-10-21,265,354,1,2,27
2019-10-26,266,315,1,1,28
2019-10-26,283,356,1,1,28
2019-10-26,264,277,0,0,28
2019-10-26,354,267,1,1,28
2019-10-26,265,285,2,3,28
2019-10-27,293,290,4,1,28
2019-10-27,262,341,1,0,28
2019-10-27,284,263,3,0,28
2019-10-27,314,275,1,2,28
2019-10-27,276,282,2,0,28
2019-10-30,354,266,2,0,29
2019-10-30,282,315,0,2,29
2019-10-30,341,264,2,1,29
2019-10-30,314,356,1,3,29
2019-10-30,267,284,1,3,29
2019-10-30,275,276,3,0,29
2019-10-31,285,293,1,1,29
2019-10-31,290,262,2,2,29
2019-10-31,263,283,0,2,29
2019-10-31,277,265,1,0,29
2019-11-02,356,282,2,2,30
2019-11-02,266,267,0,0,30
2019-11-02,275,354,1,0,30
2019-11-02,315,276,0,3,30
2019-11-03,283,265,1,1,30
2019-11-03,293,341,1,0,30
2019-11-03,262,264,4,1,30
2019-11-03,290,314,2,0,30
2019-11-03,284,285,2,0,30
2019-11-03,277,263,4,1,30
2019-11-06,265,315,1,1,31
2019-11-06,293,283,0,0,31
2019-11-06,282,290,2,0,31
2019-11-06,264,356,3,2,31
2019-11-06,267,275,1,2,31
2019-11-06,314,277,1,2,31
2019-11-07,354,285,2,0,31
2019-11-07,263,262,0,1,31
2019-11-07,276,266,0,2,31
2019-11-07,284,341,2,1,31
2019-11-09,275,264,1,1,32
2019-11-09,290,277,0,3,32
2019-11-10,283,282,0,0,32
2019-11-10,276,293,0,1,32
2019-11-10,262,265,3,1,32
2019-11-10,356,354,1,0,32
2019-11-10,315,284,0,1,32
2019-11-10,285,266,2,1,32
2019-11-10,341,267,0,3,32
2019-11-11,263,314,2,0,32
2019-11-13,262,267,4,4,34
2019-11-16,266,282,1,1,33
2019-11-16,277,276,1,1,33
2019-11-17,264,285,0,0,33
2019-11-17,265,275,1,1,33
2019-11-17,293,263,1,0,33
2019-11-17,315,354,1,0,33
2019-11-17,284,262,0,1,33
2019-11-17,356,341,3,0,33
2019-11-18,283,314,0,0,33
2019-11-18,267,290,1,1,33
2019-11-23,277,283,4,1,34
2019-11-24,285,356,2,2,34
2019-11-24,354,276,1,1,34
2019-11-24,282,293,0,1,34
2019-11-24,263,264,1,0,34
2019-11-24,314,315,0,1,34
2019-11-24,290,265,4,3,34
2019-11-24,275,284,1,2,34
2019-11-25,341,266,0,1,34
2019-11-27,265,282,1,1,35
2019-11-27,293,284,2,0,35
2019-11-27,315,263,0,1,35
2019-11-27,264,314,3,0,35
2019-11-27,262,354,4,1,35
2019-11-27,285,290,1,2,35
2019-11-28,283,341,0,1,35
2019-11-28,266,275,1,0,35
2019-11-28,356,277,2,1,35
2019-11-28,276,267,1,0,35
2019-11-30,354,293,1,1,36
2019-11-30,263,285,0,1,36
2019-12-01,314,266,1,1,36
2019-12-01,282,264,2,1,36
2019-12-01,341,265,1,2,36
2019-12-01,275,262,1,3,36
2019-12-01,290,356,1,2,36
2019-12-01,284,276,3,0,36
2019-12-01,277,315,2,0,36
2019-12-02,267,283,1,0,36
2019-12-04,266,356,0,0,37
2019-12-04,293,277,1,0,37
2019-12-04,282,263,2,0,37
2019-12-04,315,341,3,0,37
2019-12-04,354,264,0,1,37
2019-12-04,276,285,2,1,37
2019-12-05,265,267,1,1,37
2019-12-05,262,314,6,1,37
2019-12-05,284,283,2,0,37
2019-12-05,275,290,5,1,37
2019-12-08,314,293,0,0,38
2019-12-08,263,354,1,1,38
2019-12-08,267,315,1,1,38
2019-12-08,264,266,1,2,38
2019-12-08,356,265,2,1,38
2019-12-08,290,284,3,2,38
2019-12-08,285,282,2,1,38
2019-12-08,283,275,0,2,38
2019-12-08,277,262,4,0,38
2019-12-08,341,276,1,2,38
