"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.67","1.29","-0.2","290","70","81","285","0.3","1.13","1.09"
"0.79","0.72","-0.81","341","47","62","283","-0.22","0.76","1.13"
"1.26","1.61","1.02","277","86","70","356","0.32","1.5","0.83"
"0.72","0.44","-1.65","314","32","76","264","0.24","1.02","1.15"
"1.03","1.18","0.28","267","57","60","276","0.39","0.95","1.38"
"1.19","0.91","0.1","354","49","84","262","1.54","2.16","1.34"
"1.28","1.52","0.96","275","77","50","266","-0.1","0.9","1.04"
"0.92","0.85","-0.36","263","60","55","315","-0.53","0.74","0.93"
"0.86","1.04","-0.16","282","68","75","265","0.16","1.2","0.93"
"1.32","1.81","1.25","284","72","63","293","0.9","1.32","1.41"
