"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.48","1.98","1.55","262","82","70","284","1.06","1.77","1.18"
"0.65","0.48","-1.67","314","32","69","283","-0.06","0.76","1.26"
"0.78","0.8","-0.69","341","63","81","356","0.06","1.31","0.8"
"1.02","1.1","0.17","285","65","67","264","0.23","1.13","1.03"
"1.35","0.87","0.23","276","50","64","277","0.81","1.38","1.27"
"0.66","1.06","-0.51","290","62","77","267","0.1","0.98","1.1"
"0.78","1.06","-0.28","282","68","68","266","-0.28","0.88","0.94"
"1.16","0.91","0.08","354","67","45","315","-0.8","0.7","0.83"
"1.29","1.49","0.95","275","78","56","265","0.07","1.06","0.99"
"0.8","0.84","-0.56","263","51","81","293","0.7","1.35","1.2"
