"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1","0.61","-0.7","314","39","82","284","1.1","1.72","1.24"
"0.95","1","-0.07","267","68","67","282","-0.12","1.05","0.88"
"0.89","0.9","-0.32","283","57","69","354","0.14","1.04","1.06"
"1.1","0.58","-0.64","341","33","73","275","1.08","1.44","1.47"
"0.7","1.02","-0.48","290","53","81","276","0.69","1.18","1.36"
"1.33","1.31","0.8","285","62","83","262","1.65","2.33","1.34"
"0.95","1.47","0.49","277","86","59","266","-0.67","0.85","0.74"
"1.6","1.2","0.93","264","82","39","315","-0.88","0.77","0.71"
"1.03","1.02","0.08","263","52","67","265","0.69","1.16","1.39"
"0.9","1.17","0.07","356","62","74","293","0.55","1.21","1.21"
