"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.32","1.86","1.3","275","78","65","285","0.77","1.37","1.25"
"1.23","0.93","0.2","354","63","58","282","-0.02","1.06","0.93"
"1.01","0.99","0","263","70","70","356","0","1.2","0.83"
"1.02","1.04","0.08","267","46","70","264","1.05","1.23","1.69"
"0.83","0.77","-0.64","341","53","82","277","0.55","1.44","1.02"
"1.44","1.05","0.6","276","52","82","262","1.83","2.5","1.42"
"1.25","2.11","1.4","284","92","50","266","-0.48","0.86","0.83"
"1.59","1.25","0.99","265","78","35","314","-0.82","0.69","0.82"
"1.03","0.84","-0.21","283","64","64","290","-0.2","1.06","0.82"
"0.75","0.77","-0.8","315","46","85","293","0.86","1.44","1.26"
