"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.66","0.87","-0.8","290","58","89","284","0.52","1.44","1"
"1.24","1.19","0.56","285","69","59","282","0.14","1.09","1.01"
"1","1.04","0.06","263","65","70","354","0.26","1.2","1"
"0.77","0.89","-0.54","283","55","83","275","0.64","1.39","1.12"
"0.96","0.45","-1.21","341","26","65","276","0.59","1.03","1.47"
"0.91","1.62","0.56","277","75","93","262","1.48","2.38","1.17"
"1.74","1.15","1","264","77","42","266","-0.45","0.94","0.78"
"0.91","0.87","-0.35","267","72","57","315","-0.95","0.77","0.68"
"0.81","1.18","-0.06","356","52","74","265","0.81","1.09","1.61"
"0.82","0.5","-1.29","314","32","79","293","0.72","1.29","1.27"
