"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.1","1.13","0.32","265","61","66","285","0.52","1.18","1.22"
"1.59","0.81","0.36","276","60","62","282","0.45","1.54","0.89"
"0.72","1","-0.49","283","70","65","356","-0.71","0.74","0.82"
"0.9","0.46","-1.26","314","16","87","275","2.32","1.83","2.73"
"1.73","0.8","0.46","264","47","52","277","0.67","1.27","1.25"
"1.09","1.01","0.14","354","76","58","267","-0.58","0.94","0.71"
"0.9","1.1","0","284","65","65","263","0","0.95","1.06"
"0.71","1.21","-0.23","266","80","79","315","-0.29","1.1","0.75"
"1","1.5","0.58","293","80","68","290","0.11","1.15","0.94"
"1.18","1.44","0.76","262","87","31","341","-1.7","0.44","0.7"
