"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"2.11","1","1.07","264","50","40","285","0.62","1.08","1.42"
"0.77","1.27","-0.03","266","66","82","282","0.59","1.31","1.15"
"0.61","1.09","-0.58","315","57","87","354","0.68","1.26","1.28"
"1.45","1.09","0.67","265","55","68","275","1.2","1.68","1.37"
"1.1","2.02","1.16","277","73","72","276","1.14","1.41","1.55"
"0.86","1.2","0.03","284","74","90","262","0.83","2.01","0.89"
"1.06","1.59","0.75","293","72","60","263","0.31","0.98","1.27"
"0.82","0.74","-0.73","283","63","48","314","-1.33","0.54","0.74"
"1.05","0.89","-0.09","267","75","52","290","-1.02","0.77","0.64"
"0.75","1.28","-0.06","356","79",0,"341","-2.91","0.16","0.81"
