"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.47","0.95","0.49","276","54","69","284","1.11","1.74","1.24"
"1.18","1.12","0.39","264","72","59","282","-0.14","1.04","0.87"
"1.55","1.38","1.11","293","73","45","354","-0.04","0.93","1.05"
"1.31","2.3","1.59","262","84","67","275","0.85","1.44","1.25"
"0.93","0.69","-0.63","315","44","81","277","0.9","1.56","1.2"
"1.11","0.71","-0.34","283","50","64","267","0.22","1.13","1.03"
"1.05","1.09","0.2","285","68","55","263","-0.29","0.85","0.96"
"1.12","0.91","0.04","266","74","31","314","-1.8","0.42","0.68"
"0.87","1.54","0.42","356","89","78","290","-0.12","1.34","0.69"
"0.93","1.18","0.13","265","76","55","341","-0.7","0.75","0.82"
