"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.12","0.67","-0.41","283","40","81","284","1.27","1.84","1.31"
"0.98","0.8","-0.35","263","60","68","282","-0.03","1.11","0.88"
"1.11","1.11","0.3","264","64","58","354","0.03","0.96","1.07"
"0.7","1.31","-0.12","290","67","87","275","0.76","1.43","1.18"
"1.1","1.09","0.26","285","56","56","276","0.26","0.91","1.31"
"0.69","0.46","-1.67","314","29","97","262","1.65","2.37","1.32"
"0.9","1.53","0.46","356","76","63","266","-0.03","0.9","1.09"
"0.81","0.77","-0.69","341","56","56","315","-0.71","0.66","0.93"
"1.07","1.13","0.28","267","70","68","265","0.17","1.21","0.93"
"1.24","1.58","0.97","277","65","67","293","1.06","1.37","1.52"
