"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.1","1.64","0.85","293","75","68","285","0.59","1.26","1.19"
"0.84","0.74","-0.69","315","61","77","282","-0.03","1.25","0.78"
"1","0.94","-0.09","266","59","62","354","0.03","0.96","1.06"
"1.93","0.99","0.93","276","54","54","275","0.94","1.49","1.28"
"1.17","1.2","0.49","265","61","67","277","0.72","1.28","1.28"
"1.15","1.93","1.15","284","80","57","267","0.23","0.97","1.21"
"1.11","0.88","-0.04","283","62","56","263","-0.25","0.92","0.91"
"0.94","1.24","0.22","356","80","45","314","-1.25","0.55","0.76"
"1.83","2.07","1.92","262","95","48","290","-0.24","1.2","0.71"
"1.48","1.08","0.67","264","72","44","341","-0.44","0.86","0.86"
