"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.87","1.12","-0.03","282","67","72","285","0.18","1.11","1.02"
"1.2","1.57","0.92","275","78","39","283","-0.68","0.59","1.05"
"0.92","1.15","0.07","265","70","79","356","0.43","1.42","0.95"
"1.16","0.88","0.03","266","56","60","264","0.21","1.07","1.08"
"1.07","2.35","1.33","262","82","78","277","1.17","1.63","1.39"
"0.95","0.77","-0.44","315","52","67","267","0.17","1.06","1.06"
"1.05","0.88","-0.11","354","62","51","263","-0.53","0.75","0.93"
"1.67","1.21","1.02","293","84","24","314","-1.69","0.47","0.67"
"1.19","1.76","1.06","284","94","69","290","-0.16","1.39","0.64"
"1.24","1","0.31","276","75","44","341","-0.94","0.73","0.71"
