"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.1","0.86","-0.09","354","51","83","284","1.24","1.96","1.2"
"0.93","0.99","-0.12","266","62","57","283","-0.31","0.79","1.02"
"0.87","0.72","-0.67","315","58","75","356","0.02","1.22","0.83"
"1.2","1.47","0.82","293","49","60","264","1.25","1.1","2.17"
"1.3","1.76","1.19","275","79","67","277","0.71","1.45","1.13"
"0.91","1.16","0.07","282","52","91","262","1.81","2.21","1.58"
"0.91","1.08","-0.02","290","66","59","263","-0.28","0.82","1.01"
"1.05","1.01","0.08","267","76","48","314","-1.04","0.68","0.71"
"1.6","1.08","0.79","276","53","55","265","0.9","1.3","1.44"
"1.21","1.38","0.74","285","83","52","341","-0.49","0.89","0.79"
