"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.88","0.84","-0.43","341","51","89","284","1.18","1.92","1.18"
"0.73","1.24","-0.14","290","82","79","282","-0.27","1.14","0.73"
"1.16","1.14","0.39","285","64","56","354","0.07","0.95","1.11"
"0.86","1.29","0.15","356","69","71","264","0.23","1.06","1.11"
"0.97","0.8","-0.37","266","40","64","276","0.67","1","1.58"
"1.4","1.52","1.09","275","74","46","267","-0.03","0.87","1.13"
"1.5","2.09","1.65","262","94","44","263","-0.6","0.87","0.76"
"1.29","1.37","0.82","277","86","33","314","-1.51","0.51","0.69"
"0.81","0.74","-0.74","315","48","74","265","0.28","1.08","1.13"
"1.13","0.9","0.03","283","55","73","293","0.75","1.49","1.13"
