"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.04","1.25","0.37","284","62","72","285","0.75","1.31","1.28"
"0.95","1.14","0.1","356","70","83","282","0.69","1.69","0.96"
"2.5","1.96","2.29","275","82","30","354","0.01","0.88","1.14"
"1.3","1.98","1.37","262","67","46","264","0.52","0.81","1.78"
"0.86","1.05","-0.16","315","45","66","276","0.7","0.93","1.76"
"0.78","1.21","-0.08","266","79","74","267","-0.29","1.06","0.78"
"1.6","1.34","1.11","277","62","36","263","-0.01","0.71","1.39"
"0.6","1.43","-0.23","290","81","47","314","-1.62","0.37","0.87"
"0.81","0.91","-0.43","283","61","75","265","0.13","1.14","0.96"
"1.19","1.42","0.75","293","84","25","341","-1.93","0.34","0.77"
