"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.36","1.15","0.65","265","63","79","284","1.31","2.14","1.16"
"1.85","1.06","0.97","276","64","33","283","-0.36","0.74","1.05"
"1.66","2.27","1.91","262","93","51","356","0.04","1.19","0.87"
"0.83","0.69","-0.8","315","42","86","275","1.05","1.63","1.27"
"1.13","0.86","-0.04","354","47","72","277","0.97","1.46","1.34"
"1.03","0.93","-0.05","263","55","58","267","0.06","0.89","1.17"
"1.09","1.52","0.73","293","77","61","266","0.1","1.02","1.05"
"1.3","1.18","0.61","285","79","36","314","-1.17","0.58","0.76"
"1.75","1.14","0.99","264","74","46","290","-0.12","1.08","0.85"
"0.8","1.21","-0.05","282","76","66","341","-0.45","0.85","0.86"
