"team_name","strength","attack","defense","n_games"
"262",1.65,2.32,1.35,57
"275",0.9,1.46,1.28,57
"264",0.79,1.06,1.64,57
"265",0.76,1.08,1.57,57
"285",0.71,1.36,1.21,57
"284",0.71,1.53,1.07,57
"277",0.64,1.53,1.02,57
"293",0.52,1.19,1.2,57
"276",0.51,1.04,1.37,56
"354",0.27,1.11,1.09,56
"263",0.08,0.96,1.1,57
"356",0.03,1.23,0.83,19
"282",-0.03,1.13,0.87,57
"267",-0.24,0.95,0.89,57
"266",-0.43,0.92,0.81,57
"283",-0.54,0.84,0.82,57
"315",-0.94,0.8,0.65,57
"290",-0.95,0.8,0.65,19
"314",-0.97,0.57,0.9,19
"341",-0.99,0.52,0.97,19
