"team_name","strength","attack","defense","n_games"
"262",1.48,2.38,1.17,56
"264",1,1.15,1.74,56
"265",0.81,1.09,1.61,56
"293",0.72,1.29,1.27,56
"275",0.64,1.39,1.12,55
"276",0.59,1.03,1.47,55
"277",0.56,1.62,0.91,56
"285",0.56,1.19,1.24,56
"284",0.52,1.44,1,56
"354",0.26,1.2,1,55
"282",0.14,1.09,1.01,56
"263",0.06,1.04,1,56
"356",-0.06,1.18,0.81,18
"267",-0.35,0.87,0.91,56
"266",-0.45,0.94,0.78,55
"283",-0.54,0.89,0.77,56
"290",-0.8,0.87,0.66,18
"315",-0.95,0.77,0.68,56
"341",-1.21,0.45,0.96,18
"314",-1.29,0.5,0.82,18
