"team_name","strength","attack","defense","n_games"
"262",1.65,2.09,1.5,68
"284",1.18,1.92,1.18,68
"275",1.09,1.52,1.4,68
"277",0.82,1.37,1.29,68
"293",0.75,1.49,1.13,68
"276",0.67,1,1.58,67
"285",0.39,1.14,1.16,68
"265",0.28,1.08,1.13,68
"264",0.23,1.06,1.11,68
"356",0.15,1.29,0.86,30
"354",0.07,0.95,1.11,67
"283",0.03,0.9,1.13,68
"267",-0.03,0.87,1.13,68
"290",-0.14,1.24,0.73,30
"282",-0.27,1.14,0.73,68
"266",-0.37,0.8,0.97,68
"341",-0.43,0.84,0.88,30
"263",-0.6,0.87,0.76,68
"315",-0.74,0.74,0.81,68
"314",-1.51,0.51,0.69,30
