"team_name","strength","attack","defense","n_games"
"262",1.92,2.07,1.83,66
"284",1.15,1.93,1.15,66
"275",0.94,1.49,1.28,66
"276",0.93,0.99,1.93,65
"293",0.85,1.64,1.1,66
"277",0.72,1.28,1.28,66
"264",0.67,1.08,1.48,66
"285",0.59,1.26,1.19,66
"265",0.49,1.2,1.17,66
"267",0.23,0.97,1.21,66
"356",0.22,1.24,0.94,28
"354",0.03,0.96,1.06,65
"282",-0.03,1.25,0.78,66
"283",-0.04,0.88,1.11,66
"266",-0.09,0.94,1,66
"290",-0.24,1.2,0.71,28
"263",-0.25,0.92,0.91,66
"341",-0.44,0.86,0.86,28
"315",-0.69,0.74,0.84,66
"314",-1.25,0.55,0.76,28
