"team_name","strength","attack","defense","n_games"
"262",1.65,2.37,1.32,74
"284",1.27,1.84,1.31,74
"293",1.06,1.37,1.52,74
"277",0.97,1.58,1.24,74
"275",0.76,1.43,1.18,74
"356",0.46,1.53,0.9,36
"264",0.3,1.11,1.11,74
"267",0.28,1.13,1.07,74
"285",0.26,1.09,1.1,74
"276",0.26,0.91,1.31,73
"265",0.17,1.21,0.93,74
"354",0.03,0.96,1.07,73
"282",-0.03,1.11,0.88,74
"266",-0.03,0.9,1.09,74
"290",-0.12,1.31,0.7,36
"263",-0.35,0.8,0.98,74
"283",-0.41,0.67,1.12,74
"341",-0.69,0.77,0.81,36
"315",-0.71,0.66,0.93,74
"314",-1.67,0.46,0.69,36
