"team_name","strength","attack","defense","n_games"
"262",1.81,2.35,1.49,60
"275",1.25,1.83,1.3,60
"284",1.15,2.01,1.1,60
"264",1.15,1.16,1.92,60
"265",1.06,1.29,1.62,60
"285",0.8,1.37,1.27,60
"293",0.72,1.37,1.2,60
"276",0.72,0.99,1.66,59
"277",0.61,1.47,1.04,60
"267",0.11,1.07,1.01,60
"356",0.04,1.18,0.87,22
"354",0.02,0.93,1.09,59
"282",-0.02,1.15,0.86,60
"290",-0.13,1.07,0.86,22
"263",-0.15,0.9,1.01,60
"266",-0.22,0.97,0.88,60
"283",-0.42,0.74,1.01,60
"315",-0.74,0.76,0.79,60
"341",-0.82,0.7,0.81,22
"314",-0.98,0.65,0.79,22
