"team_name","strength","attack","defense","n_games"
"262",1.91,2.27,1.66,63
"284",1.31,2.14,1.16,63
"275",1.05,1.63,1.27,63
"264",0.99,1.14,1.75,63
"276",0.97,1.06,1.85,62
"277",0.97,1.46,1.34,63
"293",0.73,1.52,1.09,63
"265",0.65,1.15,1.36,63
"285",0.61,1.18,1.3,63
"266",0.1,1.02,1.05,63
"267",0.06,0.89,1.17,63
"356",0.04,1.19,0.87,25
"354",-0.04,0.86,1.13,62
"282",-0.05,1.21,0.8,63
"263",-0.05,0.93,1.03,63
"290",-0.12,1.08,0.85,25
"283",-0.36,0.74,1.05,63
"341",-0.45,0.85,0.86,25
"315",-0.8,0.69,0.83,63
"314",-1.17,0.58,0.76,25
