"team_name","strength","attack","defense","n_games"
"262",1.83,2.5,1.42,59
"284",1.4,2.11,1.25,59
"275",1.3,1.86,1.32,59
"264",1.05,1.23,1.69,58
"265",0.99,1.25,1.59,59
"293",0.86,1.44,1.26,59
"285",0.77,1.37,1.25,59
"276",0.6,1.05,1.44,58
"277",0.55,1.44,1.02,59
"354",0.2,0.93,1.23,58
"267",0.08,1.04,1.02,58
"263",0,0.99,1.01,59
"356",0,1.2,0.83,21
"282",-0.02,1.06,0.93,58
"290",-0.2,1.06,0.82,21
"283",-0.21,0.84,1.03,59
"266",-0.48,0.86,0.83,59
"341",-0.64,0.77,0.83,21
"315",-0.8,0.77,0.75,58
"314",-0.82,0.69,0.82,21
