"team_name","strength","attack","defense","n_games"
"262",1.84,2.22,1.61,64
"284",1.22,1.99,1.17,64
"275",1.04,1.55,1.33,64
"277",0.97,1.51,1.3,64
"264",0.85,1.18,1.53,64
"265",0.81,1.13,1.54,64
"276",0.78,0.98,1.75,63
"293",0.75,1.55,1.08,64
"285",0.68,1.2,1.34,64
"267",0.15,0.96,1.15,64
"356",0.1,1.2,0.89,26
"266",0.06,1.02,1.02,64
"290",-0.06,1.17,0.82,26
"354",-0.08,0.88,1.08,63
"282",-0.08,1.24,0.76,64
"263",-0.13,0.94,0.97,64
"283",-0.21,0.78,1.11,64
"341",-0.39,0.92,0.83,26
"315",-0.83,0.64,0.87,64
"314",-1.3,0.54,0.75,26
