"team_name","strength","attack","defense","n_games"
"262",1.18,2.32,0.98,54
"264",1.09,1.07,1.98,54
"275",1.01,1.55,1.29,53
"276",0.78,1.22,1.41,53
"293",0.62,1.4,1.1,54
"265",0.61,1.03,1.48,54
"277",0.58,1.82,0.82,54
"282",0.39,1.13,1.16,54
"285",0.36,0.97,1.32,54
"354",0.3,1.12,1.1,53
"284",0.28,1.29,0.94,54
"267",0.01,1.02,0.99,54
"356",-0.01,1.36,0.73,16
"263",-0.02,0.8,1.23,54
"266",-0.36,1.1,0.71,53
"283",-0.44,0.85,0.86,54
"290",-0.64,0.96,0.67,16
"315",-0.65,0.95,0.67,54
"314",-1.33,0.52,0.77,16
"341",-1.8,0.32,0.9,16
