"team_name","strength","attack","defense","n_games"
"262",1.55,1.98,1.48,70
"284",1.06,1.77,1.18,70
"275",0.95,1.49,1.29,70
"277",0.81,1.38,1.27,70
"293",0.7,1.35,1.2,70
"276",0.23,0.87,1.35,69
"264",0.23,1.13,1.03,70
"285",0.17,1.1,1.02,70
"267",0.1,0.98,1.1,70
"354",0.08,0.91,1.16,69
"265",0.07,1.06,0.99,70
"356",0.06,1.31,0.8,32
"283",-0.06,0.76,1.26,70
"282",-0.28,1.06,0.78,70
"266",-0.28,0.88,0.94,70
"290",-0.51,1.06,0.66,32
"263",-0.56,0.84,0.8,70
"341",-0.69,0.8,0.78,32
"315",-0.8,0.7,0.83,70
"314",-1.67,0.48,0.65,32
