"team_name","strength","attack","defense","n_games"
"262",1.81,2.21,1.58,61
"264",1.25,1.1,2.17,61
"284",1.24,1.96,1.2,61
"275",1.19,1.76,1.3,61
"265",0.9,1.3,1.44,61
"293",0.82,1.47,1.2,61
"276",0.79,1.08,1.6,60
"285",0.74,1.38,1.21,61
"277",0.71,1.45,1.13,61
"267",0.08,1.01,1.05,61
"282",0.07,1.16,0.91,61
"356",0.02,1.22,0.83,23
"290",-0.02,1.08,0.91,23
"354",-0.09,0.86,1.1,60
"266",-0.12,0.99,0.93,61
"263",-0.28,0.82,1.01,61
"283",-0.31,0.79,1.02,61
"341",-0.49,0.89,0.79,23
"315",-0.67,0.72,0.87,61
"314",-1.04,0.68,0.71,23
