"team_name","strength","attack","defense","n_games"
"262",1.57,1.93,1.55,67
"284",1.06,1.91,1.09,67
"275",1.01,1.55,1.3,67
"293",0.72,1.54,1.07,67
"277",0.68,1.21,1.32,67
"285",0.49,1.19,1.18,67
"276",0.42,0.89,1.5,66
"264",0.39,1.02,1.28,67
"265",0.28,1.07,1.13,67
"356",0.16,1.27,0.88,29
"354",0.08,0.98,1.08,66
"283",0.01,0.89,1.12,67
"267",-0.01,0.93,1.07,67
"290",-0.21,1.23,0.7,29
"282",-0.34,1.09,0.73,67
"266",-0.37,0.85,0.92,67
"341",-0.41,0.91,0.83,29
"263",-0.52,0.83,0.84,67
"315",-0.59,0.77,0.87,67
"314",-1.38,0.55,0.7,29
