"team_name","strength","attack","defense","n_games"
"275",1.2,1.68,1.37,52
"277",1.16,2.02,1.1,52
"276",1.14,1.41,1.55,51
"264",1.07,1,2.11,52
"262",0.83,2.01,0.89,52
"293",0.75,1.59,1.06,51
"354",0.68,1.26,1.28,52
"265",0.67,1.09,1.45,52
"285",0.62,1.08,1.42,52
"282",0.59,1.31,1.15,52
"263",0.31,0.98,1.27,52
"284",0.03,1.2,0.86,52
"266",-0.03,1.27,0.77,52
"356",-0.06,1.28,0.75,14
"267",-0.09,0.89,1.05,52
"315",-0.58,1.09,0.61,52
"283",-0.73,0.74,0.82,52
"290",-1.02,0.77,0.64,14
"314",-1.33,0.54,0.74,14
"341",-2.91,0.16,0.81,14
