"team_name","strength","attack","defense","n_games"
"264",1.35,1.12,2.27,53
"276",1.21,1.38,1.68,52
"275",1.05,1.57,1.31,53
"262",0.96,2.21,0.88,53
"293",0.94,1.57,1.22,52
"277",0.77,1.79,0.95,53
"285",0.7,1.04,1.56,53
"354",0.55,1.18,1.24,53
"282",0.52,1.23,1.17,53
"265",0.5,1.04,1.36,53
"284",0.11,1.19,0.91,53
"263",0.09,0.95,1.12,53
"356",-0.09,1.21,0.78,15
"283",-0.3,0.87,0.93,53
"266",-0.31,1.12,0.72,53
"267",-0.34,0.9,0.88,53
"315",-0.59,1.06,0.63,53
"290",-0.92,0.81,0.66,15
"314",-1.59,0.44,0.75,15
"341",-2.17,0.25,0.89,15
