"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FS","PE","RB","A","FF","FT","SG","G","I","GC","CV","DD","GS","DP","PP"
"1","Riuler de Oliveira Faustino","riuler","Riuler","https://s.glbimg.com/es/sde/f/2018/05/08/d02df5afc866bff4bd57ec2a89b945d3_FORMATO.png",99021,37,"ATL","lat","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","José Marcos Costa Martins","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2018/09/03/e0930336daf900b7753094d97c05ff41_FORMATO.png",98765,37,"CHA","mei","Nulo",0,0.99,0,1.55,"Chapecoense",1,2,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Derlan de Oliveira Bento","derlan","Derlan","https://s.glbimg.com/es/sde/f/2018/07/31/24afd410e27731384e1a8a4db2986220_FORMATO.png",98945,37,"GRE","zag","Nulo",0,1.52,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Marcelo Nicolás Benítez","marcelo-benitez","Marcelo Benítez","https://s.glbimg.com/es/sde/f/2018/07/07/e9fe9dcb5968a3169c73bb4550fc9fdb_FORMATO.png",98711,37,"VIT","lat","Dúvida",3.9,5.23,0.18,4.57,"Vitória",3,18,2,6,25,16,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"5","Pedro Gomes Bortoluzo","pedro-bortoluzo","Pedro Bortoluzo","https://s.glbimg.com/es/sde/f/2018/09/04/08e0c0a0414e51df482079c108b9d382_FORMATO.png",99041,37,"SAO","ata","Nulo",0,1.49,0,-0.3,"São Paulo",NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Pedro Victor Delmino da Silva","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2018/03/20/647d2f9294de7cfe0e135b44beacdfa9_FORMATO.png",98706,37,"COR","mei","Provável",1,4.41,-0.57,2.61,"Corinthians",2,27,18,55,91,28,2,32,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"7","Juan Matheus Alano Nascimento","juan-alano","Juan Alano","https://s.glbimg.com/es/sde/f/2018/04/09/42d654e6fb1c2336662be0dad04a9df7_FORMATO.png",98595,37,"INT","mei","Nulo",0,1.56,0,1.35,"Internacional",NA,7,1,3,12,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Diego Fabián Torres","diego-torres","Diego Torres","https://s.glbimg.com/es/sde/f/2018/08/08/403dbf41c52f6b7063f9a1d999627b58_FORMATO.png",98794,37,"CHA","mei","Provável",-1.5,4.69,-0.03,1.18,"Chapecoense",5,14,1,4,30,9,1,9,1,NA,2,1,NA,NA,NA,NA,NA,NA
"9","Marcelo dos Santos Rosa","marcelo","Marcelo","https://s.glbimg.com/es/sde/f/2018/05/08/38e74b2d891b77e8bf5e2528f09608c3_FORMATO.png",98874,37,"ATL","ata","Nulo",0,2,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2018/09/12/d6f04c6283e5b7fb8302f422d4f8a5fd_FORMATO.png",98832,37,"GRE","mei","Provável",3,3.37,-0.08,3.11,"Grêmio",NA,8,5,19,16,12,NA,7,NA,NA,1,2,NA,NA,NA,NA,NA,NA
