"","game","round","date","home_team","score","away_team","arena","X"
"1","1","1","14/05/2017 - 11:00","Fluminense - RJ","3 x 2","Santos - SP","Maracanã - Rio de Janeiro - RJ",""
"2","2","1","13/05/2017 - 16:00","Flamengo - RJ","1 x 1","Atlético - MG","Maracanã - Rio de Janeiro - RJ",""
"3","3","1","14/05/2017 - 16:00","Palmeiras - SP","4 x 0","Vasco da Gama - RJ","Allianz Parque - Sao Paulo - SP",""
"4","4","1","13/05/2017 - 19:00","Corinthians - SP","1 x 1","Chapecoense - SC","Arena Corinthians - Sao Paulo - SP",""
"5","5","1","14/05/2017 - 16:00","Cruzeiro - MG","1 x 0","São Paulo - SP","Mineirão - Belo Horizonte - MG",""
"6","6","1","15/05/2017 - 20:00","Coritiba - PR","4 x 1","Atlético - GO","Couto Pereira - Curitiba - PR",""
"7","7","1","14/05/2017 - 19:00","Grêmio - RS","2 x 0","Botafogo - RJ","Arena do Grêmio - Porto Alegre - RS",""
"8","8","1","14/05/2017 - 16:00","Bahia - BA","6 x 2","Atlético - PR","Arena Fonte Nova - Salvador - BA",""
"9","9","1","14/05/2017 - 16:00","Ponte Preta - SP","4 x 0","Sport - PE","Moisés Lucarelli - Campinas - SP",""
"10","10","1","14/05/2017 - 16:00","Avaí - SC","0 x 0","Vitória - BA","Ressacada - Florianopolis - SC",""
"11","11","2","21/05/2017 - 18:00","Botafogo - RJ","2 x 0","Ponte Preta - SP","Nilton Santos - Rio de Janeiro - RJ",""
"12","12","2","21/05/2017 - 11:00","Vasco da Gama - RJ","2 x 1","Bahia - BA","São Januário - Rio de Janeiro - RJ",""
"13","13","2","20/05/2017 - 16:00","Santos - SP","1 x 0","Coritiba - PR","Vila Belmiro - Santos - SP",""
"14","14","2","22/05/2017 - 20:00","São Paulo - SP","2 x 0","Avaí - SC","Morumbi - Sao Paulo - SP",""
"15","15","2","21/05/2017 - 16:00","Atlético - MG","1 x 2","Fluminense - RJ","Independência - Belo Horizonte - MG",""
"16","16","2","21/05/2017 - 16:00","Atlético - PR","0 x 2","Grêmio - RS","Arena da Baixada - Curitiba - PR",""
"17","17","2","21/05/2017 - 19:00","Sport - PE","1 x 1","Cruzeiro - MG","Ilha do Retiro - Recife - PE",""
"18","18","2","21/05/2017 - 16:00","Vitória - BA","0 x 1","Corinthians - SP","Arena Fonte Nova - Salvador - BA",""
"19","19","2","20/05/2017 - 19:00","Atlético - GO","0 x 3","Flamengo - RJ","Serra Dourada - Goiania - GO",""
"20","20","2","20/05/2017 - 19:00","Chapecoense - SC","1 x 0","Palmeiras - SP","Arena Condá - Chapeco - SC",""
"21","21","3","28/05/2017 - 19:00","Botafogo - RJ","1 x 0","Bahia - BA","Nilton Santos - Rio de Janeiro - RJ",""
"22","22","3","27/05/2017 - 16:00","Vasco da Gama - RJ","3 x 2","Fluminense - RJ","São Januário - Rio de Janeiro - RJ",""
"23","23","3","28/05/2017 - 16:00","Santos - SP","0 x 1","Cruzeiro - MG","Vila Belmiro - Santos - SP",""
"24","24","3","27/05/2017 - 19:00","São Paulo - SP","2 x 0","Palmeiras - SP","Morumbi - Sao Paulo - SP",""
"25","25","3","28/05/2017 - 11:00","Atlético - MG","2 x 2","Ponte Preta - SP","Independência - Belo Horizonte - MG",""
"26","26","3","28/05/2017 - 16:00","Atlético - PR","1 x 1","Flamengo - RJ","Arena da Baixada - Curitiba - PR",""
"27","27","3","28/05/2017 - 18:00","Sport - PE","4 x 3","Grêmio - RS","Ilha do Retiro - Recife - PE",""
"28","28","3","27/05/2017 - 21:00","Vitória - BA","0 x 1","Coritiba - PR","Arena Fonte Nova - Salvador - BA",""
"29","29","3","28/05/2017 - 16:00","Atlético - GO","0 x 1","Corinthians - SP","Serra Dourada - Goiania - GO",""
"30","30","3","29/05/2017 - 20:00","Chapecoense - SC","2 x 0","Avaí - SC","Arena Condá - Chapeco - SC",""
"31","31","4","03/06/2017 - 18:00","Fluminense - RJ","2 x 1","Vitória - BA","Maracanã - Rio de Janeiro - RJ",""
"32","32","4","04/06/2017 - 11:00","Flamengo - RJ","0 x 0","Botafogo - RJ","Raulino de Oliveira - Volta Redonda - RJ",""
"33","33","4","04/06/2017 - 16:00","Palmeiras - SP","0 x 0","Atlético - MG","Allianz Parque - Sao Paulo - SP",""
"34","34","4","03/06/2017 - 19:00","Corinthians - SP","2 x 0","Santos - SP","Arena Corinthians - Sao Paulo - SP",""
"35","35","4","04/06/2017 - 19:00","Cruzeiro - MG","0 x 2","Chapecoense - SC","Mineirão - Belo Horizonte - MG",""
"36","36","4","03/06/2017 - 16:00","Coritiba - PR","1 x 0","Atlético - PR","Couto Pereira - Curitiba - PR",""
"37","37","4","04/06/2017 - 16:00","Grêmio - RS","2 x 0","Vasco da Gama - RJ","Arena do Grêmio - Porto Alegre - RS",""
"38","38","4","05/06/2017 - 20:00","Bahia - BA","3 x 0","Atlético - GO","Arena Fonte Nova - Salvador - BA",""
"39","39","4","04/06/2017 - 16:00","Ponte Preta - SP","1 x 0","São Paulo - SP","Moisés Lucarelli - Campinas - SP",""
"40","40","4","04/06/2017 - 11:00","Avaí - SC","1 x 0","Sport - PE","Ressacada - Florianopolis - SC",""
"41","41","5","06/06/2017 - 20:00","Fluminense - RJ","1 x 1","Atlético - PR","Maracanã - Rio de Janeiro - RJ",""
"42","42","5","07/06/2017 - 21:45","Vasco da Gama - RJ","2 x 5","Corinthians - SP","São Januário - Rio de Janeiro - RJ",""
"43","43","5","07/06/2017 - 21:00","Santos - SP","1 x 0","Botafogo - RJ","Pacaembu - Sao Paulo - SP",""
"44","44","5","08/06/2017 - 19:30","São Paulo - SP","2 x 0","Vitória - BA","Morumbi - Sao Paulo - SP",""
"45","45","5","07/06/2017 - 19:30","Atlético - MG","1 x 0","Avaí - SC","Independência - Belo Horizonte - MG",""
"46","46","5","07/06/2017 - 19:30","Coritiba - PR","1 x 0","Palmeiras - SP","Couto Pereira - Curitiba - PR",""
"47","47","5","07/06/2017 - 21:45","Sport - PE","2 x 0","Flamengo - RJ","Ilha do Retiro - Recife - PE",""
"48","48","5","08/06/2017 - 21:00","Bahia - BA","1 x 0","Cruzeiro - MG","Arena Fonte Nova - Salvador - BA",""
"49","49","5","08/06/2017 - 19:30","Atlético - GO","3 x 0","Ponte Preta - SP","Olímpico Pedro Ludovico - Goiania - GO",""
"50","50","5","08/06/2017 - 20:00","Chapecoense - SC","3 x 6","Grêmio - RS","Arena Condá - Chapeco - SC",""
"51","51","6","11/06/2017 - 11:00","Botafogo - RJ","2 x 2","Coritiba - PR","Nilton Santos - Rio de Janeiro - RJ",""
"52","52","6","10/06/2017 - 19:00","Vasco da Gama - RJ","2 x 1","Sport - PE","São Januário - Rio de Janeiro - RJ",""
"53","53","6","10/06/2017 - 16:00","Palmeiras - SP","3 x 1","Fluminense - RJ","Allianz Parque - Sao Paulo - SP",""
"54","54","6","11/06/2017 - 16:00","Corinthians - SP","3 x 2","São Paulo - SP","Arena Corinthians - Sao Paulo - SP",""
"55","55","6","11/06/2017 - 18:30","Cruzeiro - MG","2 x 0","Atlético - GO","Mineirão - Belo Horizonte - MG",""
"56","56","6","11/06/2017 - 19:00","Atlético - PR","0 x 2","Santos - SP","Arena da Baixada - Curitiba - PR",""
"57","57","6","12/06/2017 - 20:00","Grêmio - RS","1 x 0","Bahia - BA","Arena do Grêmio - Porto Alegre - RS",""
