"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","DS","FC","FS","FT","PI","A","CA","FD","FF","G","DD","DP","GS","I","SG","PP","CV","GC"
"1","Pedro Gabriel Pereira Lopes","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2019/09/30/6a55930690acaca09d4ef83e23d8e8fd_FORMATO.png",100103,5,293,"ata","Nulo",0,2.31,-0.47,0.77,3,"Athlético-PR",1,4,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,5,373,"mei","Provável",6.3,7.81,0.79,5.18,4,"Atlético-GO",17,9,9,NA,13,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Vitor Benedito Leque da Silva","vitor","Vitor",NA,108714,5,373,"ata","Nulo",0,1.26,0,1.7,1,"Atlético-GO",1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/07/16/1dd17b686beb984f6b1468e01a4359b5_FORMATO.png",39850,5,373,"tec","Provável",1.27,5.32,0.03,3.51,4,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,5,373,"gol","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Moacir Costa da Silva","moacir","Moacir","https://s.glbimg.com/es/sde/f/2020/02/27/9937a66467916c4528d3b0575c53418f_FORMATO.png",60858,5,373,"mei","Nulo",-1.1,1.71,-0.73,0.38,4,"Atlético-GO",6,5,2,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,5,293,"ata","Nulo",0,3,0,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,5,264,"mei","Dúvida",12,9.53,2.33,6.75,2,"Corinthians",3,3,1,1,11,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,5,294,"gol","Provável",-2.1,6.9,-1.86,3.66,5,"Coritiba",1,NA,1,NA,42,NA,NA,NA,NA,NA,7,1,7,NA,NA,NA,NA,NA
"10","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,5,293,"mei","Nulo",0.3,12.95,-0.77,3.96,5,"Athlético-PR",9,6,8,NA,14,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,5,373,"ata","Provável",-0.8,6.73,-0.48,2.97,4,"Atlético-GO",4,5,2,NA,7,NA,NA,1,3,1,NA,NA,NA,3,NA,NA,NA,NA
"12","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,5,293,"gol","Nulo",1.5,5.86,0.45,0.35,4,"Athlético-PR",NA,NA,NA,NA,26,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA
"13","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,5,294,"gol","Nulo",0,5,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
