"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FF","FS","PI","A","FD","FT","G","I","SG","DD","GS","CV","DP","GC","PP"
"1","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,8,293,"zag","Dúvida",0,4.81,0,-0.5,3,"Athlético-PR",2,3,4,1,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Matheus Henrique Frizzo","matheus-frizzo","Matheus Frizzo","https://s.glbimg.com/es/sde/f/2020/07/11/2dc14015d68ca277c5634cdf32a64b92_FORMATO.png",106628,8,373,"mei","Nulo",0,1.23,0,-0.43,3,"Atlético-GO",1,2,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,8,293,"ata","Contundido",0,15.46,0,5.9,5,"Athlético-PR",1,5,13,2,11,29,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"4","Gustavo Henrique Ferrareis","gustavo-ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2020/02/27/86bda8f1f2f8a1d79cbbc8a21a0d4436_FORMATO.png",89815,8,373,"mei","Provável",-0.9,8.44,-0.38,3.9,6,"Atlético-GO",1,10,13,6,13,38,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"5","Hyuri Henrique de Oliveira Costa","hyuri","Hyuri","https://s.glbimg.com/es/sde/f/2020/07/11/ddbeaca2d0f0fdc1c5052cddcaafdd33_FORMATO.png",82758,8,373,"ata","Nulo",-0.5,6.35,-0.27,1.92,7,"Atlético-GO",NA,7,9,3,3,7,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"6","Jorge de Moura Xavier","jorginho","Jorginho","https://s.glbimg.com/es/sde/f/2020/02/27/851090fa3a68b14a9b55eb825b21a6f9_FORMATO.png",77544,8,373,"mei","Nulo",0,10.61,0,5.84,5,"Atlético-GO",NA,10,5,4,8,27,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"7","Matheus Cotulio Bossa","matheuzinho","Matheuzinho","https://s.glbimg.com/es/sde/f/2020/02/27/b29083c8515a9ac734ff21095aeb1a72_FORMATO.png",78424,8,373,"mei","Nulo",2.8,4.35,0.32,1.58,5,"Atlético-GO",NA,3,3,5,3,16,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"8","Edson Felipe da Cruz","edson","Edson ","https://s.glbimg.com/es/sde/f/2020/02/27/46673460151dd74450b62c385acb5f7b_FORMATO.png",80370,8,373,"mei","Provável",11.4,10.06,2.13,5.81,7,"Atlético-GO",1,27,12,3,14,19,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,8,373,"zag","Nulo",0,5.05,0,1.94,5,"Atlético-GO",1,8,7,1,5,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"10","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2020/07/11/5076b57240821162b131179bbb37a7f6_FORMATO.png",87262,8,373,"mei","Nulo",0,3.05,0,1,3,"Atlético-GO",NA,4,NA,NA,1,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"11","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,8,373,"ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,8,293,"gol","Provável",-2.1,4.79,-0.72,0.07,6,"Athlético-PR",NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA
"13","Odair Marciano de Oliveira Filho","odair","Odair","",108745,8,373,"zag","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,8,373,"zag","Nulo",0,2.15,0,-0.4,1,"Atlético-GO",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,8,373,"zag","Provável",0.2,3.57,0.12,0.95,7,"Atlético-GO",1,5,6,NA,8,35,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"16","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,8,373,"lat","Provável",3,3.52,-0.13,1.77,6,"Atlético-GO",NA,14,8,1,7,49,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA
"17","Vitor Benedito Leque da Silva","vitor","Vitor","",108714,8,373,"ata","Nulo",0,1.26,0,1.7,1,"Atlético-GO",NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Henry Vaca Urquiza","henry-vaca","Henry Vaca","https://s.glbimg.com/es/sde/f/2020/09/05/b763cfbcafb68e3a1ca2a96aa7dc1f83_FORMATO.png",98992,8,373,"mei","Nulo",0.3,2.38,-0.62,0.3,1,"Atlético-GO",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
