"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","athletes$atletas$scout"
"1","Marcos Felipe de Freitas Monteiro","marcos-felipe","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2020/08/11/1e384aacfbb6566d7f8e26a14bdb07ed_FORMATO.png",85004,37,266,"gol","Provável",0,1.13,-0.91,2.21,16,"266",NA
"2","Fábio Santos Romeu","","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png",38229,37,264,"lat","Provável",0,7.61,1.16,4.79,17,"264",NA
"3","Diego Ribas da Cunha","","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,37,262,"mei","Provável",0,4.86,-0.28,1.88,24,"Flamengo",NA
"4","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2020/03/02/a44ce5150145201cb2e17e412ff95656_FORMATO.png",50645,37,354,"lat","Provável",0,3.86,1.15,1.58,13,"354",NA
"5","Everton Augusto de Barros Ribeiro","","Everton Ribeiro","https://s.glbimg.com/es/sde/f/2020/07/21/f06a07026bcc6a97595016101b72e608_FORMATO.png",51772,37,262,"mei","Provável",0,9.3,-0.65,4.67,31,"Flamengo",NA
"6","Rodrigo Caio Coquette Russo","","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,37,262,"zag","Provável",0,8.36,0.36,3.04,19,"Flamengo",NA
"7","Gerson Santos da Silva","","Gerson","https://s.glbimg.com/es/sde/f/2020/07/21/84168e4162c3fd4a12b8d377c669f102_FORMATO.png",89256,37,262,"mei","Provável",0,9.65,0.09,3.11,30,"Flamengo",NA
"8","Gustavo Henrique Vernes","","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/d4798c52ed5bfaf33216dc0e08d30246_FORMATO.png",78248,37,262,"zag","Provável",0,5.37,0.11,2.33,22,"Flamengo",NA
"9","Hugo de Souza Nogueira","","Hugo Souza","https://s.glbimg.com/es/sde/f/2020/07/21/8797280aa7931393c0b38693520e8195_FORMATO.png",101574,37,262,"gol","Provável",0,2.22,-0.01,2.69,19,"Flamengo",NA
"10","Augusto Sérgio Ferreira","","Guto Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/37fe3fab756c44fa3a64d440c3298942_FORMATO.png",37245,37,354,"tec","Provável",0,10.21,0.96,3.8,36,"354",NA
"11","Rogério Ceni","","Rogério Ceni","https://s.glbimg.com/es/sde/f/2020/11/09/8879b35c72aef797d229636dbdf3dd4f_FORMATO.png",97341,37,262,"tec","Provável",0,8.6,-0.03,3.9,34,"Flamengo",NA
"12","Kelvyn Ramos da Fonseca","","Kelvyn","https://s.glbimg.com/es/sde/f/2020/08/07/02c22a8c5d9e06f0f869d0ea30ebb496_FORMATO.png",102464,37,354,"lat","Provável",0,2.68,0.91,2.83,15,"354",NA
"13","Bruno Henrique Pinto","","Bruno Henrique","https://s.glbimg.com/es/sde/f/2020/07/21/c6deeaacd987fda728f5e5cb9a7d733c_FORMATO.png",90285,37,262,"ata","Provável",0,13.1,-0.37,5.14,28,"Flamengo",NA
"14","Guilherme Antonio Arana Lopes","","Guilherme Arana","https://s.glbimg.com/es/sde/f/2020/08/31/cf251bf07d0350a8081b6b0e7bfb7950_FORMATO.png",87228,37,282,"lat","Provável",0,17.48,0.89,5.21,33,"282",NA
"15","Júnior Osmar Ignacio Alonso Mujica","","Júnior Alonso","https://s.glbimg.com/es/sde/f/2020/07/16/daf987c3f75852892ad5b645ad99faad_FORMATO.png",88312,37,282,"zag","Provável",0,9.61,-0.73,3.32,28,"282",NA
"16","Vinícius Goes Barbosa de Souza","","Vina","https://s.glbimg.com/es/sde/f/2020/07/16/66a1394a24c6d86ac402a7ad916cf196_FORMATO.png",71162,37,354,"mei","Provável",0,11.38,-1.17,6.63,29,"354",NA
"17","Douglas Alan Schuck Friedrich","","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2020/07/23/8673aa3ad493dd8b6692cdcf7143b3e2_FORMATO.png",78584,37,265,"gol","Provável",0,10.19,0.47,3.67,23,"265",NA
"18","Claudio Luiz Rodrigues Parisi Leonel","","Claudinho","https://s.glbimg.com/es/sde/f/2020/07/28/552853b4ec9d01e9cfe52d7863da96fd_FORMATO.png",92630,37,280,"ata","Provável",0,15.87,0.48,6.81,33,"280",NA
"19","Hyoran Kaue Dalmoro","","Hyoran","https://s.glbimg.com/es/sde/f/2020/08/31/66d12c528d0604bbd7db88296edd50fc_FORMATO.png",85931,37,282,"mei","Provável",0,11.46,0,4.76,25,"282",NA
"20","Gilberto Oliveira Souza Júnior","","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,37,265,"ata","Provável",0,8.85,-1.78,4,26,"265",NA
"21","Lucas Felipe Calegari","","Calegari","https://s.glbimg.com/es/sde/f/2020/08/11/62173af2578274ecacd1dfb222a0b1ed_FORMATO.png",104276,37,266,"lat","Provável",0,7.03,0.69,5.65,20,"266",NA
"22","Nicolas Vichiatto da Silva","","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,37,373,"lat","Provável",0,7.42,0.34,2.65,28,"373",NA
"23","Abner Vinícius da Silva Santos","","Abner Vinícius","https://s.glbimg.com/es/sde/f/2020/03/03/8152efe1ea15b6718521532a290b7451_FORMATO.png",104513,37,293,"lat","Provável",0,9.41,-0.25,3.77,31,"293",NA
"24","Maycon Vinícius Ferreira da Cruz","","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,37,293,"mei","Provável",0,8.73,-0.5,1.98,24,"293",NA
"25","Jean Paulo Fernandes Filho","","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,37,373,"gol","Provável",0,9.59,0,5.32,33,"373",NA
"26","Pedro Henrique Ribeiro Gonçalves","","Pedro Henrique","https://s.glbimg.com/es/sde/f/2020/07/20/2e55ca8b5694bd4dc3fd1469cce872c2_FORMATO.png",87225,37,293,"zag","Provável",0,6.25,0.52,3.4,27,"293",NA
"27","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,37,373,"zag","Nulo",0,3.88,0.61,2.48,25,"373",NA
"28","Giorgian Daniel de Arrascaeta Benedetti","","Arrascaeta","https://s.glbimg.com/es/sde/f/2020/07/21/6ad752ca6185d76358f944dab95130fd_FORMATO.png",87863,37,262,"mei","Provável",0,19.33,1.38,6.46,25,"Flamengo",NA
"29","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,37,373,"lat","Nulo",0,5,-0.9,2.27,32,"373",NA
"30","Gabriel Barbosa Almeida","","Gabriel","https://s.glbimg.com/es/sde/f/2020/07/21/6604f523718cb7a1b17424add935b9b8_FORMATO.png",83257,37,262,"ata","Provável",0,13.69,0.37,6.26,23,"Flamengo",NA
"31","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,37,373,"zag","Nulo",0,3.89,0,1.15,30,"373",NA
"32","Marlon Rodrigues Freitas","marlon-freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2020/02/27/bc294007fa19cf27acd992a30e786eff_FORMATO.png",93790,37,373,"mei","Nulo",0,5.38,0.23,1.51,28,"373",NA
"33","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,37,293,"ata","Provável",0,7.13,-0.26,4.07,30,"293",NA
"34","Matheus de Vargas","matheus-vargas","Matheus Vargas","https://s.glbimg.com/es/sde/f/2020/02/27/d38d61b7de44da63368bf0b140f95261_FORMATO.png",87929,37,373,"mei","Nulo",0,3.62,1.9,1.03,27,"373",NA
"35","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,37,373,"ata","Nulo",0,1,0,0,0,"373",NA
"36","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,37,293,"gol","Provável",0,6.3,0.68,2.34,30,"293",NA
"37","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,37,373,"zag","Provável",0,2.92,0.13,1.84,16,"373",NA
"38","Diego Souza de Andrade","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2020/07/19/856625bb76f484b70bec52c9ff257c5a_FORMATO.png",68911,37,284,"ata","Nulo",0,9.45,-1.25,4.16,22,"284",NA
"39","Gilvan Souza Correa","gilvan","Gilvan","https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png",82773,37,373,"zag","Provável",0,4.89,0.27,1.86,20,"373",NA
