"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DD","GS","PI","SG","A","CV","DS","FC","FD","FF","FS","G","I","FT","DP","GC","PP"
"1","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,34,263,"gol","Contundido",0,14.9,0,5.6,8,"263",1,13,7,62,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,34,266,"lat","Nulo",0,3.67,0,0.74,17,"266",5,NA,NA,244,4,2,1,27,44,3,5,5,1,2,NA,NA,NA,NA
"3","Vagner Carmo Mancini","vagner-mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png",39850,34,264,"tec","Provável",3.37,7.73,0.33,3.78,26,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Leonardo Cittadini","leo-cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png",70986,34,293,"mei","Suspenso",3.3,12.36,-0.46,3.85,26,"293",6,NA,NA,94,NA,NA,NA,61,48,11,19,44,4,2,1,NA,NA,NA
"5","Aderbar Melo dos Santos Neto","santos","Santos","https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png",69012,34,293,"gol","Provável",4.4,6.72,0.05,2.44,27,"293",NA,16,24,224,10,NA,NA,1,1,NA,NA,1,NA,NA,NA,3,NA,NA
"6","João Victor da Silva Marcelino","joao-victor","João Victor","https://s.glbimg.com/es/sde/f/2020/07/11/4c4dadeaea30878f0a87ab9fd6ae8d27_FORMATO.png",104250,34,373,"zag","Provável",4.8,4.17,0.87,2.6,23,"373",8,NA,NA,81,6,2,NA,41,25,1,1,27,NA,NA,NA,NA,NA,NA
"7","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,34,373,"zag","Nulo",0,2.46,0,2.16,13,"373",3,NA,NA,47,3,NA,NA,10,13,NA,1,7,2,NA,NA,NA,NA,NA
"8","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,34,373,"lat","Provável",0.9,4.68,0.02,2.17,29,"373",3,NA,NA,244,6,1,1,62,30,2,7,30,NA,3,NA,NA,1,NA
"9","Maurício Kozlinski","mauricio-kozlinski","Maurício Kozlinski","https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png",72595,34,373,"gol","Nulo",0,1.56,0,-7.8,1,"373",NA,NA,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Madson Ferreira dos Santos","madson","Madson","https://s.glbimg.com/es/sde/f/2020/02/28/797ea157d220381c5808fcaa35ab969f_FORMATO.png",78077,34,277,"lat","Suspenso",5.1,6.61,0.72,3.45,23,"Santos",3,NA,NA,149,3,4,NA,15,14,4,2,19,5,3,1,NA,NA,NA
