"ID","rodata","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"1","1","29/3/2003","16:00","Guarani","Vasco","","","","","Guarani"," Brinco de Ouro","4","2","SP","RJ"
"2","1","29/3/2003","16:00","Athletico-PR","Gremio","","","","","Athletico-PR"," Arena da Baixada","2","0","PR","RS"
"3","1","30/3/2003","16:00","Flamengo","Coritiba","","","","","-"," Maracanã","1","1","RJ","PR"
"4","1","30/3/2003","16:00","Goias","Paysandu","","","","","-"," Serra Dourada","2","2","GO","PA"
"5","1","30/3/2003","16:00","Internacional","Ponte Preta","","","","","-"," Beira Rio","1","1","RS","SP"
"6","1","30/3/2003","16:00","Criciuma","Fluminense","","","","","Criciuma"," Heriberto Hulse","2","0","SC","RJ"
"7","1","30/3/2003","16:00","Juventude","Sao Paulo","","","","","-"," Alfredo Jaconi","2","2","RS","SP"
"8","1","30/3/2003","16:00","Fortaleza","Bahia","","","","","-"," Castelão","0","0","CE","BA"
"9","1","30/3/2003","16:00","Cruzeiro","Sao Caetano","","","","","-"," Mineirão","2","2","MG","SP"
"10","1","30/3/2003","16:00","Vitoria","Figueirense","","","","","-"," Barradão","1","1","BA","SC"
"11","1","30/3/2003","18:00","Santos","Parana","","","","","-"," Vila Belmiro","2","2","SP","PR"
"12","1","30/3/2003","18:00","Corinthians","Atletico-MG","","","","","Atletico-MG"," Pacaembu","0","3","SP","MG"
"13","2","5/4/2003","16:00","Fluminense","Fortaleza","","","","","-"," Maracanã","1","1","RJ","CE"
"14","2","5/4/2003","16:00","Atletico-MG","Santos","","","","","-"," Mineirão","0","0","MG","SP"
"15","2","5/4/2003","16:00","Coritiba","Internacional","","","","","Internacional"," Couto Pereira","0","1","PR","RS"
"16","2","5/4/2003","18:00","Gremio","Guarani","","","","","Gremio"," Olímpico","3","1","RS","SP"
"17","2","6/4/2003","16:00","Bahia","Flamengo","","","","","Flamengo"," Fonte Nova","1","2","BA","RJ"
"18","2","6/4/2003","16:00","Figueirense","Corinthians","","","","","-"," Orlando Scarpelli","3","3","SC","SP"
"19","2","6/4/2003","16:00","Paysandu","Vitoria","","","","","Vitoria"," Mangueirão","1","2","PA","BA"
"20","2","6/4/2003","16:00","Ponte Preta","Juventude","","","","","Ponte Preta"," Moisés Lucarelli","1","0","SP","RS"
"21","2","6/4/2003","16:00","Parana","Athletico-PR","","","","","Parana"," Pinheirão","3","0","PR","PR"
"22","2","6/4/2003","16:00","Sao Caetano","Criciuma","","","","","Sao Caetano"," Anacleto Campanella","3","2","SP","SC"
"23","2","6/4/2003","18:00","Sao Paulo","Cruzeiro","","","","","Cruzeiro"," Morumbi","2","4","SP","MG"
"24","2","6/4/2003","18:00","Vasco","Goias","","","","","Vasco"," São Januário","6","4","RJ","GO"
"25","4","9/4/2003","21:40","Paysandu","Santos","","","","","Paysandu"," Mangueirão","2","1","PA","SP"
"37","3","12/4/2003","16:00","Internacional","Bahia","","","","","Internacional"," Beira Rio","2","0","RS","BA"
"38","3","12/4/2003","16:00","Santos","Figueirense","","","","","Santos"," Vila Belmiro","2","0","SP","SC"
"39","3","12/4/2003","16:00","Athletico-PR","Atletico-MG","","","","","Atletico-MG"," Arena da Baixada","1","2","PR","MG"
"40","3","12/4/2003","18:00","Corinthians","Paysandu","","","","","Corinthians"," Pacaembu","6","1","SP","PA"
"41","3","13/4/2003","16:00","Vitoria","Vasco","","","","","Vitoria"," Barradão","2","1","BA","RJ"
"42","3","13/4/2003","16:00","Criciuma","Sao Paulo","","","","","-"," Heriberto Hulse","1","1","SC","SP"
"43","3","13/4/2003","16:00","Fortaleza","Sao Caetano","","","","","-"," Presidente Vargas","1","1","CE","SP"
"44","3","13/4/2003","16:00","Juventude","Coritiba","","","","","Juventude"," Alfredo Jaconi","2","1","RS","PR"
"45","3","13/4/2003","16:00","Guarani","Parana","","","","","Guarani"," Brinco de Ouro","2","0","SP","PR"
"46","3","13/4/2003","16:00","Goias","Gremio","","","","","-"," Serra Dourada","1","1","GO","RS"
"47","3","13/4/2003","18:00","Cruzeiro","Ponte Preta","","","","","Cruzeiro"," Mineirão","3","0","MG","SP"
"48","3","13/4/2003","18:00","Flamengo","Fluminense","","","","","Flamengo"," Maracanã","4","1","RJ","RJ"
"26","4","16/4/2003","20:30","Bahia","Juventude","","","","","Bahia"," Fonte Nova","3","1","BA","RS"
"27","4","16/4/2003","20:30","Gremio","Vitoria","","","","","Gremio"," Olímpico","2","1","RS","BA"
"28","4","16/4/2003","20:30","Atletico-MG","Guarani","","","","","Atletico-MG"," Mineirão","3","2","MG","SP"
"29","4","16/4/2003","20:30","Figueirense","Athletico-PR","","","","","-"," Orlando Scarpelli","1","1","SC","PR"
"30","4","16/4/2003","20:30","Ponte Preta","Criciuma","","","","","-"," Moisés Lucarelli","1","1","SP","SC"
"31","4","16/4/2003","21:40","Sao Caetano","Flamengo","","","","","-"," Anacleto Campanella","1","1","SP","RJ"
"32","4","16/4/2003","21:40","Vasco","Corinthians","","","","","-"," São Januário","2","2","RJ","SP"
"33","4","16/4/2003","21:40","Coritiba","Cruzeiro","","","","","Cruzeiro"," Couto Pereira","3","4","PR","MG"
"34","4","17/4/2003","20:30","Fluminense","Internacional","","","","","Fluminense"," Maracanã","3","1","RJ","RS"
"35","4","17/4/2003","20:30","Sao Paulo","Fortaleza","","","","","Sao Paulo"," Morumbi","3","1","SP","CE"
"36","4","17/4/2003","20:30","Parana","Goias","","","","","Parana"," Pinheirão","3","1","PR","GO"
"144","12","18/4/2003","20:30","Flamengo","Cruzeiro","","","","","Flamengo"," Maracanã","3","0","RJ","MG"
"49","5","19/4/2003","16:00","Bahia","Atletico-MG","","","","","Atletico-MG"," Fonte Nova","2","4","BA","MG"
"50","5","19/4/2003","16:00","Sao Caetano","Gremio","","","","","-"," Anacleto Campanella","1","1","SP","RS"
