"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name"
"1","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/02/04/8b8337c1eb83b667df5436c2d124d730_FORMATO.png",90285,1,262,"ata","Provável",0,10,0,0,"Flamengo"
"2","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2018/05/04/6c420bdf0f2609d2a1e1a2a3a3b453b4_FORMATO.png",38509,1,262,"gol","Provável",0,5,0,0,"Flamengo"
"3","Eugênio Machado Souto","geninho","Geninho","https://s.glbimg.com/es/sde/f/2019/03/31/0f7029892255153d5c0261c6523eef36_FORMATO.png",36886,1,314,"tec","Provável",0,4,0,0,"Avaí"
"4","Alex Paulo Menezes Santana","alex-santana","Alex Santana","https://s.glbimg.com/es/sde/f/2019/03/22/18c2a6ba294467649a2ebdaf8c14b53a_FORMATO.png",85465,1,263,"mei","Provável",0,10,0,0,"Botafogo"
"5","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/02/06/9258d13c7118866a900f113f3efe91fe_FORMATO.png",42234,1,264,"gol","Provável",0,12,0,0,"Corinthians"
"6","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2018/05/18/997feae679bb584848d2ef5197f0b406_FORMATO.png",86757,1,284,"ata","Provável",0,13,0,0,"Grêmio"
"7","João Paulo Mior","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2019/03/22/3b2ab0a4c2f206adcc40b24bfc972cbb_FORMATO.png",72168,1,263,"mei","Nulo",0,8,0,0,"Botafogo"
"8","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,1,284,"zag","Provável",0,10,0,0,"Grêmio"
"9","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,1,284,"zag","Provável",0,25,0,0,"Grêmio"
"10","Erik Nascimento Lima","erik","Erik","https://s.glbimg.com/es/sde/f/2019/03/22/34b98d60cb3c91184594baa0f454b479_FORMATO.png",84848,1,263,"ata","Provável",0,11,0,0,"Botafogo"
"11","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2018/05/04/d9cbd0281e5c54c7aeba457eb5b5c0b3_FORMATO.png",78445,1,262,"lat","Provável",0,12,0,0,"Flamengo"
"12","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/02/04/9b148dc0cddfe96f23b3bee59f70143e_FORMATO.png",83257,1,262,"ata","Provável",0,14,0,0,"Flamengo"
