"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","G","I","PE","PP","RB","A","SG","CV","DD","GS","DP","FT","GC"
"1","Alecsandro Barbosa Felisbino","alecsandro","Alecsandro","https://s.glbimg.com/es/sde/f/2019/08/16/4a2c1f65c81e89225ad8cbc89dbf310c_FORMATO.png",37673,34,341,"ata","Contundido",0,4.54,0,1.13,"CSA",1,20,6,11,11,2,7,19,1,7,NA,NA,NA,NA,NA,NA,NA,NA
"2","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,34,284,"lat","Nulo",1.2,5.34,0,2.22,"Grêmio",1,7,NA,2,14,NA,1,40,NA,13,1,5,NA,NA,NA,NA,NA,NA
"3","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,34,283,"mei","Provável",4.6,8.35,0.32,3.13,"Cruzeiro",5,45,4,15,58,NA,1,46,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ebert William Amâncio","betao","Betão","https://s.glbimg.com/es/sde/f/2019/02/18/c0b805cc5c8e5f13e496652b72658a40_FORMATO.png",37646,34,314,"zag","Contundido",0,3.97,0,1.91,"Avaí",6,20,1,3,28,NA,NA,50,NA,32,NA,6,1,NA,NA,NA,NA,NA
"5","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,34,275,"zag","Dúvida",0,6.97,0,4.7,"Palmeiras",NA,3,1,3,2,NA,NA,1,NA,4,NA,2,NA,NA,NA,NA,NA,NA
"6","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,34,293,"lat","Dúvida",0,7.3,0,4.32,"Athlético-PR",2,4,1,NA,3,1,NA,7,NA,6,NA,2,NA,NA,NA,NA,NA,NA
"7","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,34,356,"gol","Nulo",0,4.9,0,4.41,"Fortaleza",1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,2,NA,15,10,NA,NA,NA
"8","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,34,283,"gol","Provável",3.4,10.85,-0.77,3.88,"Cruzeiro",2,NA,NA,NA,5,NA,NA,13,NA,NA,NA,12,NA,40,34,2,NA,NA
"9","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,34,290,"ata","Provável",5.5,4.26,0.79,1.5,"Goiás",4,39,3,15,23,4,5,21,NA,6,NA,NA,1,NA,NA,NA,NA,NA
"10","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2019/03/29/391192f2c104011047dcb18e6855dd72_FORMATO.png",37798,34,285,"ata","Suspenso",-1.5,6.62,0.07,3.22,"Internacional",6,14,16,17,10,2,NA,23,NA,10,3,NA,NA,NA,NA,NA,NA,NA
