"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FS","PE","RB","FF","A","CA","FD","G","DD","GS","DP","SG","I","PP","FT","CV","GC"
"1","Guilherme de Aguiar Camacho","camacho","Camacho","https://s.glbimg.com/es/sde/f/2019/03/30/81d88455f0c9a28fc1bf58482da871c1_FORMATO.png",68770,16,293,"mei","Suspenso",0,4.3,0,1.2,"Athlético-PR",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Evandro Goebel","evandro","Evandro","https://s.glbimg.com/es/sde/f/2019/07/23/786467c2a3fa4e560747d85deb202cf4_FORMATO.png",37614,16,277,"mei","Dúvida",0.6,4.48,-0.03,0.55,"Santos",3,1,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2019/03/29/391192f2c104011047dcb18e6855dd72_FORMATO.png",37798,16,285,"ata","Nulo",0,7.54,0,3.48,"Internacional",7,7,9,7,10,1,3,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Marcelo Boeck","marcelo-boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2019/03/22/4b4e1c64603c84d346f4ba4ad46fb562_FORMATO.png",37788,16,356,"gol","Nulo",0,3.31,0,-2.3,"Fortaleza",NA,NA,2,NA,NA,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"5","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,16,283,"gol","Provável",-1.6,9.27,-1.68,2.95,"Cruzeiro",NA,1,4,NA,NA,NA,1,NA,NA,16,17,1,4,NA,NA,NA,NA,NA
"6","Oswaldo de Oliveira","oswaldo-de-oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2019/08/27/835aad64e86b5c595fe6a647b4ada118_FORMATO.png",36940,16,266,"tec","Provável",0,6.9,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2019/07/16/854eb848da41f2f6d32cdacb338e5e87_FORMATO.png",37655,16,290,"ata","Provável",-0.3,3.39,-0.21,0.35,"Goiás",5,2,3,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"8","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2019/06/20/b08c001d25a758214f1ef1618a1818fb_FORMATO.png",38231,16,284,"ata","Provável",-4,7.26,-0.85,1.65,"Grêmio",6,11,26,6,3,NA,NA,8,1,NA,NA,NA,NA,3,1,NA,NA,NA
"9","Ney Franco da Silveira Júnior","ney-franco","Ney Franco","https://s.glbimg.com/es/sde/f/2019/08/16/4fdb04d94b755837e1e0f7f90cf60442_FORMATO.png",37246,16,290,"tec","Provável",3.73,8.86,0.11,3.25,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,16,282,"lat","Provável",0,9.91,0,3,"Atlético-MG",11,12,21,8,1,NA,1,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA
