"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","PE","RB","SG","DD","GS","FD","FF","G","FT","A","I","DP","PP","CV","GC"
"1","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,11,285,"zag","Nulo",9.9,14.67,1.32,5.85,"Internacional",3,8,10,13,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,11,262,"gol","Provável",0.7,5.56,0.13,3.8,"Flamengo",NA,NA,NA,3,1,2,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2019/07/01/ac71f3ebf82fb819599967ea8bff8513_FORMATO.png",86757,11,284,"ata","Nulo",0.5,15.09,-0.48,5.37,"Grêmio",1,3,4,11,10,NA,NA,NA,4,5,3,NA,NA,NA,NA,NA,NA,NA
"4","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/05/18/a1c0088018f45c558e550b2e63d482e8_FORMATO.png",42234,11,264,"gol","Provável",4,8.57,-0.4,5.51,"Corinthians",2,NA,2,3,NA,5,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,11,284,"zag","Nulo",0,14.75,0,6.57,"Grêmio",2,3,4,12,23,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"6","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,11,285,"zag","Nulo",0,7.09,0,4.68,"Internacional",NA,1,1,2,6,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"7","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,11,282,"zag","Provável",2.3,11.44,-1.11,4.25,"Atlético-MG",NA,1,2,11,16,1,NA,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA
"8","Anderson Vital da Silva","dede","Dedé","https://s.glbimg.com/es/sde/f/2018/05/18/868bcae1cfa32a1aa3c4c3e884f54c78_FORMATO.png",60819,11,283,"zag","Nulo",0,16.89,0,5.9,"Cruzeiro",2,8,11,23,19,3,NA,NA,4,5,2,NA,NA,NA,NA,NA,NA,NA
"9","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,11,262,"lat","Provável",3.1,7.64,-0.18,4.27,"Flamengo",1,3,4,22,14,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
"10","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png",90285,11,262,"ata","Provável",0.9,18.65,-2.57,6.17,"Flamengo",2,13,18,13,1,NA,NA,NA,9,13,5,NA,1,1,NA,NA,NA,NA
