"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FF","FS","G","PE","RB","CA","FD","I","DD","GS","SG","DP","FT","A","PP","CV","GC"
"1","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,3,282,"lat","Provável",2.8,11.32,-0.12,3.67,"Atlético-MG",2,1,4,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Gabriel Barbosa Almeida","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png",83257,3,262,"ata","Nulo",0,16.91,0,6.45,"Flamengo",1,2,4,1,6,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png",38509,3,262,"gol","Contundido",0,5,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Renê Rodrigues Martins","rene","Renê","https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png",78445,3,262,"lat","Nulo",0,6.02,0,-0.25,"Flamengo",2,NA,2,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,3,284,"zag","Provável",3.7,14.12,-3.5,2.05,"Grêmio",7,NA,3,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2019/02/06/9258d13c7118866a900f113f3efe91fe_FORMATO.png",42234,3,264,"gol","Provável",0.7,3.9,-0.73,0.4,"Corinthians",NA,NA,1,NA,1,NA,1,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA
"7","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2018/05/18/997feae679bb584848d2ef5197f0b406_FORMATO.png",86757,3,284,"ata","Provável",10.9,16.99,2.21,7.07,"Grêmio",NA,NA,2,2,5,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png",90285,3,262,"ata","Nulo",-0.5,18.85,-1.92,6.17,"Flamengo",3,4,3,2,2,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,3,283,"gol","Provável",1,11.59,-2.18,6.33,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,1,NA,NA,NA,NA,NA
"10","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,3,285,"zag","Provável",6,5.22,1.45,2.97,"Internacional",1,1,1,NA,2,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
