"ID","Rodada","CasaID","VisitanteID","PlacarCasa","PlacarVisitante","Resultado"
190053,1,276,262,2,1,"Casa"
190054,1,275,282,2,2,"Empate"
190055,1,266,317,1,0,"Casa"
190056,1,267,290,0,0,"Empate"
190057,1,284,303,3,3,"Empate"
190058,1,283,264,0,1,"Visitante"
190059,1,314,277,1,1,"Empate"
190060,1,293,285,3,0,"Casa"
190061,1,292,316,4,1,"Casa"
190062,1,315,294,2,1,"Casa"
190063,2,264,315,1,0,"Casa"
190064,2,277,283,1,0,"Casa"
190065,2,303,276,1,0,"Casa"
190066,2,262,292,2,2,"Empate"
190067,2,285,314,1,0,"Casa"
190068,2,282,266,4,1,"Casa"
190069,2,316,267,0,0,"Empate"
190070,2,294,284,2,0,"Casa"
190071,2,290,293,2,0,"Casa"
190072,2,317,275,0,0,"Empate"
190073,3,276,317,3,0,"Casa"
190074,3,275,290,0,1,"Visitante"
190075,3,266,264,0,0,"Empate"
190076,3,267,285,1,1,"Empate"
190077,3,284,316,1,0,"Casa"
190078,3,283,303,1,1,"Empate"
190079,3,314,262,2,1,"Casa"
190080,3,293,282,1,0,"Casa"
190081,3,292,294,1,0,"Casa"
190082,3,315,277,1,0,"Casa"
190083,4,264,275,0,2,"Visitante"
190084,4,277,292,2,2,"Empate"
190085,4,303,315,3,1,"Casa"
190086,4,262,266,2,3,"Visitante"
190087,4,285,276,0,0,"Empate"
190088,4,282,267,3,0,"Casa"
190089,4,316,283,2,1,"Casa"
190090,4,294,314,1,2,"Visitante"
190091,4,290,284,1,1,"Empate"
190092,4,317,293,1,2,"Visitante"
190093,5,276,277,3,2,"Casa"
190094,5,275,285,1,1,"Empate"
190095,5,266,294,2,0,"Casa"
190096,5,267,303,0,3,"Visitante"
190097,5,284,264,3,1,"Casa"
190098,5,283,262,1,0,"Casa"
190099,5,314,282,1,4,"Visitante"
190100,5,293,316,1,0,"Casa"
190101,5,292,290,1,0,"Casa"
190102,5,315,317,2,0,"Casa"
190103,6,276,284,2,0,"Casa"
190104,6,277,303,2,2,"Empate"
190105,6,266,292,0,0,"Empate"
190106,6,262,315,1,0,"Casa"
190107,6,285,294,2,0,"Casa"
190108,6,282,283,1,3,"Visitante"
190109,6,316,275,2,1,"Casa"
190110,6,293,267,2,0,"Casa"
190111,6,290,314,0,1,"Visitante"
190112,6,317,264,0,1,"Visitante"
190113,7,264,285,2,1,"Casa"
190114,7,275,266,2,1,"Casa"
190115,7,303,290,0,0,"Empate"
190116,7,267,283,1,3,"Visitante"
190117,7,284,293,2,1,"Casa"
190118,7,282,277,2,2,"Empate"
190119,7,314,316,1,1,"Empate"
190120,7,294,262,0,1,"Visitante"
190121,7,292,317,2,1,"Casa"
190122,7,315,276,0,1,"Visitante"
190123,8,276,314,1,1,"Empate"
190124,8,277,264,1,0,"Casa"
190125,8,266,303,2,0,"Casa"
190126,8,262,282,0,2,"Visitante"
190127,8,284,275,1,0,"Casa"
190128,8,283,315,0,1,"Visitante"
190129,8,316,285,0,0,"Empate"
190130,8,293,294,2,2,"Empate"
190131,8,292,267,2,1,"Casa"
190132,8,317,290,2,1,"Casa"
190133,9,264,316,2,1,"Casa"
190134,9,275,276,4,0,"Casa"
190135,9,303,293,2,1,"Casa"
190136,9,267,262,1,0,"Casa"
190137,9,285,277,1,0,"Casa"
190138,9,282,317,1,0,"Casa"
190140,9,314,284,1,2,"Visitante"
190141,9,294,283,1,0,"Casa"
190142,9,290,266,1,2,"Visitante"
190143,9,315,292,1,1,"Empate"
190144,10,264,303,2,0,"Casa"
190145,10,275,315,2,0,"Casa"
190146,10,266,277,2,1,"Casa"
190147,10,267,314,1,0,"Casa"
190148,10,284,283,1,0,"Casa"
190149,10,282,294,2,0,"Casa"
190150,10,316,290,3,1,"Casa"
190151,10,293,276,2,1,"Casa"
190152,10,292,285,3,0,"Casa"
