"Rodada","ClubeID","AtletaID","Participou","Pontos","PontosMedia","Preco","PrecoVariacao","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
0,294,37623,FALSE,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,294,37623,TRUE,5.3,5.3,6.84,2.84,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
2,294,37623,TRUE,-0.5,2.4,6.67,-0.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,294,37623,TRUE,2.3,2.37,6.98,0.31,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
4,294,37623,TRUE,-2.7,1.1,5.5,-1.48,0,3,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0
5,294,37623,TRUE,8.2,2.52,7.84,2.34,2,4,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0
6,294,37623,TRUE,0.3,2.15,6.55,-1.29,1,2,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
7,294,37623,FALSE,0,2.15,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,294,37623,TRUE,1.1,2,6.5,-0.05,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,294,37623,TRUE,4.4,2.3,7.2,0.7,2,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
10,294,37623,FALSE,0,2.3,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,294,37623,FALSE,0,2.3,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,294,37623,FALSE,0,2.3,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,277,72382,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,277,72382,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,277,72382,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,277,72382,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,277,72382,FALSE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,315,95830,FALSE,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
