"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","FT","G","GC","PE","RB","SG","DD","GS","A","I","DP","CV","PP"
"1","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,26,"ATL","zag","Provável",3.7,8.49,0.45,2.88,"Atlético-PR",1,16,1,3,8,1,1,1,13,10,4,NA,NA,NA,NA,NA,NA,NA
"2","Renato Portaluppi","renato-gaucho","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2018/05/21/735c0f10e782fe88dc4dde7e95494223_FORMATO.png",41929,26,"GRE","tec","Provável",6.47,15.59,0.04,4.98,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Adilson Dias Batista","adilson-batista","Adilson Batista","https://s.glbimg.com/es/sde/f/2018/07/27/075f906ab86a37b68db6211debd2aef4_FORMATO.png",41258,26,"AME","tec","Provável",2.08,8.97,0.24,3.26,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2018/05/18/6662c91f614ec4441d31795cdaf98573_FORMATO.png",42234,26,"COR","gol","Provável",-2,9.4,-0.19,3.74,"Corinthians",3,1,NA,NA,1,NA,NA,NA,9,1,6,21,13,NA,NA,NA,NA,NA
"5","Egídio de Araújo Pereira Júnior","egidio","Egídio","https://s.glbimg.com/es/sde/f/2018/05/18/4e9c58c4c55851aececb2f797dca0723_FORMATO.png",42145,26,"CRU","lat","Contundido",-2,9.66,-1.54,5.28,"Cruzeiro",3,23,1,6,19,NA,NA,NA,62,49,7,NA,NA,1,6,NA,NA,NA
"6","Paulo César Carpegiani","carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2018/08/16/0a3a6d836d3a312ff4d4c5bc75289265_FORMATO.png",39355,26,"VIT","tec","Provável",4.25,8.68,0.66,3.43,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,26,"AME","gol","Nulo",0,3.09,0,4.4,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"8","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,26,"CHA","mei","Nulo",0,3.69,0,1.53,"Chapecoense",1,22,3,2,5,NA,NA,NA,15,21,NA,NA,NA,NA,1,NA,NA,NA
"9","Alexi Stival","cuca","Cuca","https://s.glbimg.com/es/sde/f/2018/07/31/462a0dba3c1810e338b61e28a25d8495_FORMATO.png",42411,26,"SAN","tec","Provável",4.04,10.79,0.18,4.72,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Alessandro Beti Rosa","magrao","Magrão","https://s.glbimg.com/es/sde/f/2018/05/24/f496adc6b632b974ae09ae7205c71914_FORMATO.png",41218,26,"SPO","gol","Provável",6.7,8.15,1.29,2.27,"Sport",4,1,NA,NA,2,NA,NA,NA,12,NA,4,31,34,NA,NA,2,NA,NA
