"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","FT","G","PE","RB","DD","DP","GS","SG","CA","CV","I","GC","PP"
"1","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,27,"COR","mei","Provável",0,7.16,0,3.12,"Corinthians",5,10,5,8,7,1,3,53,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,27,"CRU","gol","Nulo",0,12.23,0,4.14,"Cruzeiro",NA,NA,NA,NA,1,NA,NA,8,NA,29,1,18,7,NA,NA,NA,NA,NA
"3","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,27,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",NA,1,NA,1,1,NA,NA,7,3,NA,NA,NA,1,1,NA,NA,NA,NA
"4","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,27,"ATL","zag","Provável",-4,5.67,-0.44,2.29,"Atlético-PR",NA,10,NA,NA,6,NA,1,19,4,NA,NA,NA,4,4,NA,NA,NA,NA
"5","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2018/08/07/272c62a282abd56a319bf12b78566c25_FORMATO.png",37245,27,"CHA","tec","Provável",0.93,8.22,0.08,3.21,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,27,"SPO","zag","Suspenso",-6,4.3,-1.27,2.52,"Sport",NA,8,NA,2,6,NA,NA,10,7,NA,NA,NA,4,NA,1,1,NA,NA
"7","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,27,"CRU","tec","Nulo",-0.14,10.54,-0.65,3.62,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,27,"ATL","lat","Provável",0,10.31,0,4.25,"Atlético-PR",5,13,NA,NA,6,NA,1,23,11,NA,NA,NA,7,3,NA,NA,NA,NA
"9","Danilo Gabriel de Andrade","danilo","Danilo","https://s.glbimg.com/es/sde/f/2018/03/19/1f0051211ca9ceda30ab8fde3573c5b4_FORMATO.png",38067,27,"COR","mei","Nulo",0,2.63,0,0.67,"Corinthians",NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,27,"BAH","gol","Nulo",4.9,4.09,1.25,2.15,"Bahia",NA,NA,NA,NA,3,NA,NA,5,NA,10,NA,11,4,NA,NA,NA,NA,NA
"11","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,27,"AME","ata","Dúvida",0,8.9,0,2.23,"América-MG",2,31,8,8,14,NA,5,31,4,NA,NA,NA,NA,3,1,6,NA,NA
"12","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,27,"PAL","zag","Provável",0,6.15,0,1.62,"Palmeiras",NA,10,1,1,12,1,NA,8,11,NA,NA,NA,4,3,1,3,1,NA
"13","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,27,"VIT","mei","Nulo",0,2.86,0,0.38,"Vitória",NA,7,NA,NA,3,NA,NA,9,9,NA,NA,NA,NA,3,NA,1,NA,NA
