"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","CA","FC","G","RB","FD","FF","FT","A","CV","I","GC","PP"
"1","Marcelo Mendonça de Mattos Terra","marcelo-mattos","Marcelo Mattos","https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png",37645,24,"VAS","mei","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Augusto Sérgio Ferreira","guto-ferreira","Guto Ferreira","https://s.glbimg.com/es/sde/f/2018/08/07/272c62a282abd56a319bf12b78566c25_FORMATO.png",37245,24,"CHA","tec","Provável",2.12,8.3,-0.12,3.42,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Fábio Deivson Lopes Maciel","fabio","Fábio","https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png",37656,24,"CRU","gol","Provável",8,11.2,0.3,3.72,"Cruzeiro",24,1,1,17,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Paulo André Cren Benini","paulo-andre","Paulo André","https://s.glbimg.com/es/sde/f/2018/03/01/b7709326554a84fe9ce4ce6243d3be27_FORMATO.png",37604,24,"ATL","zag","Nulo",0,7.57,0,4.12,"Atlético-PR",NA,NA,5,NA,11,4,2,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"5","Michel Fernandes Bastos","michel-bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2018/05/24/0126c46938216c0c50c04a26ea95c336_FORMATO.png",37607,24,"SPO","mei","Nulo",0,4.49,0,1.9,"Sport",NA,NA,9,NA,25,NA,1,9,2,3,2,8,1,NA,NA,NA,NA,NA
"6","Rafael Martiniano de Miranda Moura","rafael-moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2018/05/07/ef379a2301781917b402af5e2c4b363f_FORMATO.png",37655,24,"AME","ata","Nulo",-1.6,8.72,0.43,2.38,"América-MG",NA,NA,13,NA,30,NA,3,31,5,4,8,8,NA,2,1,5,NA,NA
"7","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2018/03/01/fe3cd425e203e34aaf34a6ac98ffc4af_FORMATO.png",37662,24,"ATL","lat","Provável",-0.7,8.4,0.01,3.8,"Atlético-PR",NA,NA,6,NA,21,6,3,11,1,10,NA,NA,NA,3,NA,NA,NA,NA
"8","Cícero Santos","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/05/18/8e50aae33b3efeecf55378dbf4117454_FORMATO.png",37688,24,"GRE","mei","Nulo",0.9,5.3,-0.5,2.35,"Grêmio",NA,NA,16,NA,33,NA,4,21,1,16,8,8,NA,2,NA,NA,NA,NA
"9","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,24,"PAL","zag","Nulo",0,6.15,0,1.62,"Palmeiras",NA,NA,12,NA,8,4,3,10,NA,11,1,1,1,NA,1,3,1,NA
"10","Juan Silveira dos Santos","juan","Juan","https://s.glbimg.com/es/sde/f/2018/05/04/a27fb246da3d1abe49c7f9865bfc827e_FORMATO.png",36540,24,"FLA","zag","Contundido",0,5.74,0,1.55,"Flamengo",NA,NA,1,NA,7,1,1,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA
"11","Luis Antônio Venker de Menezes","mano-menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2018/05/18/b67ea93f254fb3c5b6517b9f84238c19_FORMATO.png",37281,24,"CRU","tec","Provável",4.95,11.17,0.42,3.72,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Henrique Pacheco de Lima","henrique","Henrique","https://s.glbimg.com/es/sde/f/2018/05/18/f4c3f244aefa8557f0db6db3c2b7328a_FORMATO.png",37694,24,"CRU","mei","Nulo",0,7.97,0,2.14,"Cruzeiro",NA,NA,16,NA,18,NA,6,18,NA,31,1,7,NA,NA,NA,NA,1,NA
"13","Leonardo da Silva Moura","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2018/05/21/7d6781295f86c2cbf0d78d936349c8c8_FORMATO.png",37701,24,"GRE","lat","Nulo",3.3,11.14,-0.81,5.57,"Grêmio",NA,NA,11,NA,22,8,NA,9,NA,15,NA,NA,NA,2,NA,NA,NA,NA
"14","Fernando Henrique dos Anjos","fernando-henrique","Fernando Henrique","https://s.glbimg.com/es/sde/f/2018/05/25/7ca44de4ed3f8f7ee66c43bfba93b858_FORMATO.png",37717,24,"CEA","gol","Nulo",0,3,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Marcos Arouca da Silva","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/07/11/ef4e492b6d4044e2561586e6e85b4a0d_FORMATO.png",37718,24,"VIT","mei","Contundido",0,2.86,0,0.38,"Vitória",NA,NA,3,NA,9,NA,3,7,NA,9,NA,NA,NA,NA,NA,1,NA,NA
"16","Rafael Augusto Sobis do Nascimento","rafael-sobis","Rafael Sobis","https://s.glbimg.com/es/sde/f/2018/05/07/89dec4f38d1a0c8584e115128f412fcf_FORMATO.png",37798,24,"CRU","ata","Dúvida",0,7.73,0,4.55,"Cruzeiro",NA,NA,15,NA,16,NA,2,6,2,11,5,13,2,1,NA,2,NA,NA
"17","Edimo Ferreira Campos","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/20/385b92c43915864d5dc2e6674796a3f6_FORMATO.png",37792,24,"CEA","mei","Provável",4.2,3.63,0.4,0.64,"Ceará",NA,NA,8,NA,19,NA,2,22,NA,13,1,2,NA,NA,NA,1,NA,NA
"18","Maicosuel Reginaldo de Matos","maicosuel","Maicosuel","https://s.glbimg.com/es/sde/f/2018/07/24/17fe7bc2ac257ab3acf49cc465103f82_FORMATO.png",37851,24,"PAR","mei","Dúvida",-0.3,2.35,-0.56,0.57,"Paraná",NA,NA,3,NA,5,NA,NA,2,NA,2,1,1,NA,NA,NA,NA,NA,NA
"19","Renan Brito Soares","renan","Renan","https://s.glbimg.com/es/sde/f/2018/05/25/456537a12ae5b4ddcd1be287aa642b72_FORMATO.png",37899,24,"CEA","gol","Nulo",0,4,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Severino dos Ramos Durval da Silva","durval","Durval","https://s.glbimg.com/es/sde/f/2018/05/24/c59507e546eedc9b6c3f1a4a8f3291eb_FORMATO.png",38100,24,"SPO","zag","Provável",5.8,6.21,0.78,4.3,"Sport",NA,NA,5,NA,6,4,NA,4,NA,4,NA,2,NA,NA,NA,1,NA,NA
"21","Frederico Chaves Guedes","fred","Fred","https://s.glbimg.com/es/sde/f/2018/05/18/d0c4af39faf530d73e1192ba68d0ce20_FORMATO.png",38162,24,"CRU","ata","Nulo",0,16,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Jefferson de Oliveira Galvão","jefferson","Jefferson","https://s.glbimg.com/es/sde/f/2018/05/17/79d40929e5229e61e98f574de745d4e5_FORMATO.png",38109,24,"BOT","gol","Contundido",0,8.15,0,2.46,"Botafogo",16,NA,1,16,7,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"23","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2018/03/21/a86272bc4c138764ec439dd44ecf8dbd_FORMATO.png",38001,24,"BAH","gol","Contundido",0,2.84,0,1.92,"Bahia",10,NA,2,11,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,24,"PAL","gol","Nulo",0,9.75,0,2.7,"Palmeiras",NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Maicon Thiago Pereira de Souza","maicon","Maicon","https://s.glbimg.com/es/sde/f/2018/05/21/34502d57cb34fa46bd51d3bd901d38bb_FORMATO.png",38196,24,"GRE","mei","Nulo",0,7.44,0,3.24,"Grêmio",NA,NA,11,NA,46,NA,3,18,3,22,2,4,NA,2,NA,NA,NA,1
"26","Thiago Neves Augusto","thiago-neves","Thiago Neves","https://s.glbimg.com/es/sde/f/2018/05/07/d1d468f88a9bce01adaf6cdad34d20ae_FORMATO.png",38277,24,"CRU","mei","Dúvida",0,8.9,0,2.06,"Cruzeiro",NA,NA,17,NA,51,NA,2,11,1,12,16,12,NA,NA,NA,7,NA,NA
"27","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2018/05/07/98bee57585b8dde8e58e642b147a3a11_FORMATO.png",38229,24,"ATL","lat","Provável",-1.1,5.6,-1.13,2.71,"Atlético-MG",NA,NA,28,NA,49,6,5,21,2,19,1,3,NA,NA,NA,5,NA,NA
"28","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/03/20/6abc8106b7c4341690dfaa6a5f4fbfdb_FORMATO.png",38315,24,"COR","mei","Provável",1.5,7.34,-0.61,3.02,"Corinthians",NA,NA,6,NA,44,NA,NA,9,2,4,3,8,1,5,NA,NA,NA,NA
"29","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2018/03/01/db4db4f56d8eb08a1b14d7d283c884e6_FORMATO.png",38394,24,"ATL","zag","Provável",0.7,8.04,-0.83,2.81,"Atlético-PR",NA,NA,8,NA,12,3,1,14,1,10,1,3,1,NA,NA,NA,1,NA
"30","Fernando Leal Fonseca","fernando-leal","Fernando Leal","https://s.glbimg.com/es/sde/f/2018/03/20/6020709514f63ef3c8e066601ee521fd_FORMATO.png",38350,24,"AME","gol","Nulo",4.4,3.09,0.09,4.4,"América-MG",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Roger Rodrigues da Silva","roger","Roger","https://s.glbimg.com/es/sde/f/2018/05/18/383add7632ff5943c79f5f45676d54a4_FORMATO.png",38287,24,"COR","ata","Provável",-3,4.09,-1.98,1.36,"Corinthians",NA,NA,14,NA,13,NA,2,33,3,3,2,11,1,NA,NA,10,NA,NA
"32","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,24,"CHA","mei","Provável",0.9,4.18,-0.73,2.39,"Chapecoense",NA,NA,23,NA,42,NA,2,19,NA,40,2,3,NA,NA,NA,NA,NA,NA
