"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.03","0.51","-0.92","263","47","71","262","0.04","1.29","0.8"
"1.98","0.88","0.8","284","43","52","267","1.18","1.44","1.57"
"0.95","1.26","0.25","277","69","67","275","0.19","1.07","1.07"
"1.28",0,0,"294",0,"51","280","-0.52","0.92","0.75"
"0.93","0.45","-1.26","356","42","73","264","0","1.22","0.82"
"1.27","1.38","0.81","282","74","64","285","0.4","1.28","1.03"
"1.01","1.05","0.08","276","72","80","292","0.44","1.65","0.82"
"1.06","1.07","0.17","266","73","71","293","0.1","1.29","0.83"
"0.82","1.27","0.06","265","84","71","354","-0.48","1.02","0.71"
"2.88","1.61","2.21","373","91","31","290","-0.46","1.08","0.67"
