"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.41","0.78","0.14","293","57","64","262","0.41","1.42","0.93"
"0.99","1.39","0.46","266","73","59","263","-0.04","0.9","1.08"
"0.87","1.1","-0.07","354","57","79","275","0.78","1.33","1.3"
"0.78","1.28","0","264","82","82","280","0","1.33","0.75"
"1.03","1.38","0.5","267","77","84","282","0.79","1.88","0.92"
"1.65","1.19","0.97","285","61","44","284","0.33","0.98","1.28"
"1.18","0.98","0.22","292","78","60","265","-0.48","1.09","0.66"
"1.13","1.27","0.52","276","75","43","294","-0.79","0.63","0.92"
"0.86","1.15","-0.03","373","56","71","356","0.57","1.06","1.4"
"1.16","1.38","0.68","277","89","74","290","-0.04","1.55","0.63"
