"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.72","1.43","1.3","285","65","35","266","0","0.74","1.35"
"1.9","0.96","0.86","276","36","44","267","1.23","1.09","2.17"
"0.65","1.6","0.06","290","80","91","275","0.63","1.54","1"
"2.04","1.39","1.5","293","76","43","277","0.14","1.15","0.96"
"0.88","1.08","-0.07","354","59","83","282","0.9","1.53","1.22"
"0.7","1.59","0.16","264","67","87","284","1.02","1.41","1.44"
"1","0.96","-0.06","280","66","71","265","0.15","1.25","0.89"
"1.25","1.54","0.95","262","69",0,"294",0,0,"1.34"
"0.95","0.86","-0.29","263","63","60","356","-0.43","0.87","0.85"
"0.55","1.83","0","292",0,"100","373",0,"3.76",0
