"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.17","1.05","0.31","292","67","75","262","0.63","1.63","0.95"
"1.31","1.39","0.86","275","74","50","263","-0.12","0.9","1.02"
"1.08","0.94","0.02","373","58","69","276","0.45","1.25","1.09"
"1.62","1.2","0.96","285","76","51","280","-0.02","1.15","0.85"
"1.14","1.42","0.69","277","77","60","264","0.02","1.04","0.98"
"0.97","0.66","-0.64","294","40","66","284","0.45","1.05","1.3"
"0.87","1.36","0.24","267","88","76","265","-0.33","1.23","0.65"
"0.87","1.13","-0.03","354","62","60","293","-0.11","0.79","1.17"
"0.94","2.16","1.02","282","75","64","356","0.58","0.97","1.54"
"0.97","1.39","0.44","266","91","83","290","0","1.71","0.59"
