"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.66","1.19","-0.36","265","67","63","263","-0.04","0.9","1.08"
"0.84","1.16","-0.04","373","76","75","264","0","1.31","0.76"
"1.2","0.68","-0.29","294","40","80","266","0.04","1.07","0.96"
"0.68","1.38","-0.08","280","61","84","267","0.55","1.52","0.96"
"0.86","1.47","0.35","262","74","77","275","0.8","1.37","1.27"
"1.41","1.04","0.56","356","45","77","277","0.65","1.33","1.17"
"1.6","0.97","0.63","284","54","87","282","0.65","1.71","0.92"
"1.1","1.21","0.42","276","67","87","285","1.02","1.22","1.67"
"0.66","1.19","-0.36","265","67","57","293","0.03","0.81","1.25"
"0.65","1.55","0.01","290","58","70","354","-0.09","1.06","0.89"
"1.08","0.9","-0.04","263","63","76","373","-0.04","1.16","0.84"
