"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.64","1.57","1.36","267","81","50","266","0.1","1.14","0.94"
"1.49","1.46","1.13","285","67","44","263","0.16","0.85","1.31"
"0.67","1.49","0","264","72","80","276","0.35","1.09","1.17"
"0.76","0.99","-0.4","262","56","82","277","0.66","1.3","1.22"
"0.93","1.1","0.03","293","68","74","282","0.25","1.25","0.95"
"0.49","1.19","-0.78","290","50","79","284","0.42","0.77","1.73"
"1.46","0.91","0.42","275","57","56","265","0.38","1.2","1.09"
"0.84","0.88","-0.45","292","65","25","294","-2.32","0.24","0.84"
"0.9","1.41","0.33","280","75","60","356","-0.26","0.82","1.02"
"0.57","0.83","-1.08","354","64","89","373","0.01","1.23","0.82"
